"","CU","Year","Escape","Catch","TS","ER","Age3r","Age4r","Age5r","Age6r","Return","Age3b","Age4b","Age5b","Age6b","TR","Recruit"
"88","NEVI",1980,17485,2069,19554,0.11,"0.28","0.71","0.01","0.00",19554,"1705.62","21367.41","2023.52","0.00","25096.56",25096.5556257755
"89","NEVI",1981,54652,847,55499,0.02,"0.14","0.79","0.07","0.00",55499,"22836.34","51591.36","10339.96","3.89","84771.54",84771.5440922342
"90","NEVI",1982,67025,13792,80817,0.17,"0.19","0.73","0.08","0.00",80817,"31599.12","93688.80","2457.59","489.16","128234.67",128234.666105599
"91","NEVI",1983,9498,223,9721,0.02,"0.18","0.56","0.26","0.00",9721,"13124.24","14099.37","19014.82","126.49","46364.92",46364.9205986207
"92","NEVI",1984,45990,407,46397,0.01,"0.49","0.46","0.05","0.00",46397,"1988.16","109498.44","7829.43","82.73","119398.76",119398.755419239
"93","NEVI",1985,81689,3525,85214,0.04,"0.37","0.61","0.02","0.00",85214,"9341.37","20821.91","6580.78","137.99","36882.04",36882.0410948302
"94","NEVI",1986,102780,14373,117153,0.12,"0.11","0.80","0.09","0.00",117153,"3989.17","101879.08","38136.00","637.23","144641.48",144641.481773007
"95","NEVI",1987,18192,357,18549,0.02,"0.11","0.76","0.13","0.00",18549,"1260.41","42438.15","13700.29","361.73","57760.58",57760.5792692025
"96","NEVI",1988,117169,20774,137943,0.15,"0.07","0.79","0.14","0.00",137943,"12162.86","147731.23","19013.47","1015.21","179922.77",179922.768776173
"97","NEVI",1989,29181,3586,32767,0.11,"0.12","0.64","0.24","0.00",32767,"6290.25","52888.75","28216.05","946.23","88341.28",88341.284634073
"98","NEVI",1990,93774,16029,109803,0.15,"0.01","0.93","0.06","0.00",109803,"3366.05","71775.41","15588.25","34.09","90763.80",90763.8033185387
"99","NEVI",1991,88601,4274,92875,0.05,"0.13","0.46","0.41","0.00",92875,"10957.33","42703.53","418.66","55.72","54135.24",54135.2387414917
"100","NEVI",1992,143110,25249,168359,0.15,"0.04","0.88","0.08","0.00",168359,"15015.99","3371.78","3607.71","144.59","22140.07",22140.0663537979
"101","NEVI",1993,66190,9440,75630,0.12,"0.04","0.70","0.25","0.00",75630,"1181.47","63478.72","9093.59","5.36","73759.14",73759.1908603577
"102","NEVI",1994,95994,15970,111964,0.14,"0.10","0.64","0.25","0.01",111964,"10584.12","154773.40","546.09","16.28","165919.89",165920.716106076
"103","NEVI",1995,67508,6746,74254,0.09,"0.20","0.58","0.21","0.01",74254,"22909.42","1819.05","201.42","0.00","24929.90",24929.9595650614
"104","NEVI",1996,4744,262,5006,0.05,"0.24","0.67","0.08","0.01",5006,"341.50","2857.75","2304.68","0.00","5503.93",5503.08778281249
"105","NEVI",1997,75428,2311,77739,0.03,"0.14","0.82","0.05","0.00",77739,"337.54","54027.51","26551.15","33.19","80949.40",80949.297414765
"106","NEVI",1998,165446,21475,186922,0.11,"0.12","0.83","0.05","0.00",186921,"22325.81","142721.42","1132.39","5.79","166185.42",166185.418581989
"107","NEVI",1999,2641,71,2712,0.03,"0.13","0.67","0.20","0.00",2712,"42095.43","21241.13","451.91","810.38","64598.86",64599.0864979179
"108","NEVI",2000,3110,303,3412,0.09,"0.10","0.84","0.06","0.00",3413,"2588.28","1185.48","7322.76","0.00","11096.53",11097.1366524737
"109","NEVI",2001,75934,2724,78658,0.03,"0.28","0.69","0.03","0.00",78658,"319.60","43724.40","2365.21","0.00","46409.21",46409.4141059938
"110","NEVI",2002,198442,12926,211368,0.06,"0.20","0.68","0.13","0.00",211368,"7791.45","45688.90","1470.29","10.45","54961.09",54961.8850623015
"111","NEVI",2003,22783,2212,24995,0.09,"0.10","0.85","0.05","0.00",24995,"9633.90","13232.64","1225.37","8.22","24100.13",24100.2943838258
"112","NEVI",2004,1758,199,1958,0.1,"0.16","0.61","0.23","0.00",1957,"619.07","4161.30","173.06","0.00","4953.44",4953.43525955985
"113","NEVI",2005,51991,7658,59649,0.13,"0.13","0.73","0.12","0.01",59649,"3523.87","3001.26","4475.05","64.78","11064.97",11065.1780187254
"114","NEVI",2006,51092,6596,57689,0.11,"0.17","0.79","0.04","0.00",57688,"123.45","11980.15","1523.90","0.00","13627.51",13628.0681782496
"115","NEVI",2007,14685,637,15322,0.04,"0.04","0.86","0.10","0.00",15322,"4846.80","83500.07","5152.20","NA","NA",NA
"116","NEVI",2008,8488,433,8921,0.05,"0.40","0.47","0.14","0.00",8921,"1535.25","7584.08","NA","NA","NA",NA
"117","NEVI",2009,3124,182,3306,0.05,"0.04","0.91","0.05","0.00",3306,"2389.07","NA","NA","NA","NA",NA
"118","NEVI",2010,20844,458,21303,0.02,"0.23","0.56","0.21","0.00",21302,"NA","NA","NA","NA","NA",NA
"119","NEVI",2011,80013,6611,86624,0.08,"0.02","0.96","0.02","0.00",86624,"NA","NA","NA","NA","NA",NA
"120","NEVI",2012,19323,671,19994,0.03,"0.12","0.38","0.26","0.00",19994,"NA","NA","NA","NA","NA",NA
"121","UK",1953,17250,3613,20863,0.17,"NA","NA","NA","NA",20863,"NA","NA","0.00","0.00","NA",NA
"122","UK",1954,6500,1290,7790,0.17,"NA","NA","NA","NA",7790,"NA","25451.17","503.17","0.00","NA",NA
"123","UK",1955,4650,751,5401,0.14,"NA","NA","NA","NA",5401,"19577.83","14555.47","209.98","0.00","34343.28",34343.2775544852
"124","UK",1956,18000,3903,21903,0.18,"NA","NA","NA","NA",21903,"7484.35","13555.60","888.72","0.00","21928.68",21928.6752921461
"125","UK",1957,38900,3332,42232,0.08,"NA","NA","NA","NA",42232,"8746.42","40321.77","284.28","0.00","49352.46",49352.462447059
"126","UK",1958,40000,5029,45029,0.11,"0.43","0.57","0.00","0.00",45029,"5120.51","3257.08","54.69","0.00","8432.28",8432.27909960134
"127","UK",1959,20000,2543,22543,0.11,"0.33","0.65","0.02","0.00",22543,"13631.64","6912.38","119.79","0.00","20663.81",20663.8067508874
"128","UK",1960,19250,3262,22512,0.14,"0.39","0.60","0.01","0.00",22512,"3729.94","13168.18","54.82","0.00","16952.93",16952.9313106538
"129","UK",1961,42000,4331,46331,0.09,"0.11","0.87","0.02","0.00",46331,"3943.04","1436.31","65.41","0.00","5444.76",5444.76285583869
"130","UK",1962,16500,673,17173,0.04,"0.79","0.19","0.02","0.00",17173,"828.87","3657.81","14.16","0.00","4500.84",4500.84164357162
"131","UK",1963,9750,947,10697,0.09,"0.35","0.65","0.01","0.00",10697,"683.78","376.09","7.40","0.00","1067.26",1067.25672280408
"132","UK",1964,16500,731,17231,0.04,"0.23","0.76","0.01","0.00",17231,"654.75","1212.53","5.14","0.00","1872.42",1872.38583682082
"133","UK",1965,2275,45,2320,0.02,"0.36","0.62","0.02","0.00",2320,"246.08","71.05","115.38","0.00","432.50",431.990871198397
"134","UK",1966,4342,65,4407,0.01,"0.16","0.83","0.01","0.00",4407,"63.81","11150.35","128.19","0.00","11342.35",11341.8907809169
"135","UK",1967,998,47,1045,0.04,"0.63","0.36","0.01","0.00",1045,"1050.28","562.46","831.86","0.00","2444.59",2444.59051515527
"136","UK",1968,1350,116,1466,0.08,"0.17","0.83","0.01","0.00",1466,"490.36","41051.61","6578.97","33.16","48154.09",48154.0906874631
"137","UK",1969,129,11,139,0.08,"0.46","0.51","0.04","0.00",140,"3219.54","32059.33","2450.24","0.00","37729.11",37729.1093426054
"138","UK",1970,11119,1197,12316,0.1,"0.09","0.91","0.01","0.00",12316,"1046.70","5130.42","287.89","0.00","6465.01",6465.00735065732
"139","UK",1971,1112,69,1181,0.06,"0.42","0.48","0.11","0.00",1181,"1997.18","3500.43","340.44","0.00","5838.05",5838.0548356626
"140","UK",1972,39805,5298,45103,0.12,"0.07","0.91","0.02","0.00",45103,"4880.68","19700.63","27.01","0.00","24608.32",24608.3187220813
"141","UK",1973,34238,5447,39685,0.14,"0.03","0.81","0.17","0.00",39685,"3484.93","905.50","209.10","0.00","4599.53",4599.53094726671
"142","UK",1974,9186,425,9611,0.04,"0.21","0.53","0.25","0.00",9611,"285.49","8468.68","1223.87","0.00","9978.04",9978.03680237142
"143","UK",1975,7775,894,8669,0.1,"0.56","0.40","0.03","0.00",8669,"1443.22","3421.93","124.09","0.00","4989.24",4989.23517630995
"144","UK",1976,20600,2926,23526,0.12,"0.15","0.84","0.01","0.00",23526,"2653.20","11995.63","30.17","0.00","14679.00",14679.0043397097
"145","UK",1977,1180,38,1218,0.03,"0.23","0.74","0.02","0.00",1218,"4779.28","357.38","1518.46","0.48","6655.59",6655.59478851144
"146","UK",1978,8895,1226,10121,0.12,"0.14","0.84","0.02","0.00",10121,"62.46","13664.24","280.19","28.04","14034.93",14034.9256308474
"147","UK",1979,7129,170,7299,0.02,"0.36","0.47","0.17","0.00",7299,"3662.30","592.52","719.52","0.00","4974.33",4974.33299488648
"148","UK",1980,15600,1299,16899,0.08,"0.28","0.71","0.01","0.00",16899,"185.81","7282.89","0.38","0.00","7469.08",7469.07863086384
"149","UK",1981,445,5,450,0.01,"0.14","0.79","0.07","0.00",450,"7783.56","9.69","570.16","0.73","8364.14",8364.13963737826
"150","UK",1982,16466,2379,18845,0.13,"0.19","0.73","0.08","0.00",18845,"5.93","5166.15","462.53","11.54","5646.15",5646.14809813897
"151","UK",1983,1038,21,1059,0.02,"0.18","0.56","0.26","0.00",1059,"723.69","2653.56","448.55","28.36","3854.16",3854.1630067244
"152","UK",1984,15706,108,15814,0.01,"0.49","0.46","0.05","0.00",15814,"374.18","2583.01","1755.51","2.27","4714.96",4714.96374466754
"153","UK",1985,15,1,16,0.03,"0.37","0.61","0.02","0.00",16,"220.36","4668.68","180.22","21.04","5090.30",5090.2966014558
"154","UK",1986,5890,570,6460,0.09,"0.11","0.80","0.09","0.00",6460,"894.45","2790.00","5815.56","0.63","9500.64",9501.05317687419
"155","UK",1987,3436,55,3491,0.02,"0.11","0.76","0.13","0.00",3491,"34.52","6471.62","13.59","5.85","6525.57",6526.03098738108
"156","UK",1988,2945,309,3254,0.09,"0.07","0.79","0.14","0.00",3254,"1854.78","146.54","307.46","1.50","2310.28",2310.40827428708
"157","UK",1989,6783,564,7347,0.08,"0.12","0.64","0.24","0.00",7347,"6.24","855.26","41.58","3.22","906.30",906.312934006456
"158","UK",1990,2700,307,3007,0.1,"0.01","0.93","0.06","0.00",3007,"54.43","105.77","53.11","62.83","276.15",276.355171484667
"159","UK",1991,13664,499,14164,0.04,"0.13","0.46","0.41","0.00",14163,"16.15","145.50","771.50","1.63","934.79",935.359420339412
"160","UK",1992,148,19,167,0.11,"0.04","0.88","0.08","0.00",167,"51.16","6213.47","105.76","11.72","6382.11",6382.26998121387
"161","UK",1993,1115,108,1223,0.09,"0.04","0.70","0.25","0.00",1223,"2177.20","1860.94","736.99","0.27","4775.40",4774.58600569686
"162","UK",1994,148,17,165,0.1,"0.10","0.64","0.25","0.01",165,"310.28","12543.60","27.18","19.07","12900.14",12900.005263647
"163","UK",1995,237,16,254,0.06,"0.20","0.58","0.21","0.01",253,"1856.69","90.55","235.95","0.00","2183.19",2183.19024096819
"164","UK",1996,8853,372,9225,0.04,"0.24","0.67","0.08","0.01",9225,"17.00","3347.58","15.53","0.00","3380.11",3380.10734830217
"165","UK",1997,2224,55,2278,0.02,"0.14","0.82","0.05","0.00",2279,"395.40","364.04","484.63","10.69","1254.76",1254.75729964733
"166","UK",1998,14148,1001,15149,0.07,"0.12","0.83","0.05","0.00",15149,"150.43","2605.03","364.79","97.29","3217.54",3217.54290053374
"167","UK",1999,132,3,135,0.02,"0.13","0.67","0.20","0.00",135,"768.35","6842.71","7593.62","211.76","15416.44",15416.4380836422
"168","UK",2000,3717,281,3998,0.07,"0.10","0.84","0.06","0.00",3998,"833.80","19920.01","1913.53","0.00","22667.33",22667.3324751481
"169","UK",2001,516,14,530,0.03,"0.28","0.69","0.03","0.00",530,"5370.38","11425.71","543.00","0.00","17339.09",17339.0935128455
"170","UK",2002,3706,152,3858,0.04,"0.20","0.68","0.13","0.00",3858,"2036.00","10489.25","1801.07","17.93","14344.25",14344.2456178971
"171","UK",2003,7579,473,8052,0.06,"0.10","0.85","0.05","0.00",8052,"2211.75","16209.59","2102.68","49.64","20573.66",20573.6643632137
"172","UK",2004,30546,2338,32884,0.07,"0.16","0.61","0.23","0.00",32884,"758.34","7140.59","1045.02","0.00","8943.96",8943.95783980854
"173","UK",2005,14441,1146,15587,0.07,"0.13","0.73","0.12","0.01",15587,"6046.80","18122.87","1824.72","14.23","26008.61",26008.611677766
"174","UK",2006,12259,985,13244,0.07,"0.17","0.79","0.04","0.00",13244,"745.47","4884.97","334.64","0.00","5965.07",5965.07203835571
"175","UK",2007,18516,253,18769,0.01,"0.04","0.86","0.10","0.00",18769,"1976.31","18336.01","7467.01","NA","NA",NA
"176","UK",2008,14847,461,15308,0.03,"0.40","0.47","0.14","0.00",15308,"337.13","10991.48","NA","NA","NA",NA
"177","UK",2009,19326,637,19963,0.03,"0.04","0.91","0.05","0.00",19963,"3462.45","NA","NA","NA","NA",NA
"178","UK",2010,8546,140,8686,0.02,"0.23","0.56","0.21","0.00",8686,"NA","NA","NA","NA","NA",NA
"179","UK",2011,17990,1032,19022,0.05,"0.02","0.96","0.02","0.00",19022,"NA","NA","NA","NA","NA",NA
"180","UK",2012,28364,613,28977,0.02,"0.12","0.38","0.26","0.00",28977,"NA","NA","NA","NA","NA",NA
"181","LB",1953,26660,19417,46077,0.42,"NA","NA","NA","NA",46077,"NA","NA","0.00","0.00","NA",NA
"182","LB",1954,33389,23246,56635,0.41,"NA","NA","NA","NA",56635,"NA","30230.09","734.33","0.00","NA",NA
"183","LB",1955,10653,5082,15735,0.32,"NA","NA","NA","NA",15735,"23253.91","21242.09","121.74","0.00","44617.75",44617.747433312
"184","LB",1956,14985,9855,24840,0.4,"NA","NA","NA","NA",24840,"10922.58","7859.26","605.88","0.00","19387.72",19387.7241248803
"185","LB",1957,56760,12203,68963,0.18,"NA","NA","NA","NA",68963,"5071.00","27489.23","382.26","0.00","32942.48",32942.4976200004
"186","LB",1958,38387,15097,53484,0.28,"0.43","0.57","0.00","0.00",53484,"3490.89","4379.69","437.92","0.00","8308.50",8308.69765456295
"187","LB",1959,23918,8981,32899,0.27,"0.33","0.65","0.02","0.00",32899,"18330.05","55352.64","876.75","0.00","74559.44",74560.8891231764
"188","LB",1960,8610,4442,13052,0.34,"0.39","0.60","0.01","0.00",13052,"29868.44","96381.17","136.43","0.00","126386.04",126387.153431069
"189","LB",1961,24600,6986,31586,0.22,"0.11","0.87","0.02","0.00",31586,"28860.08","3574.68","495.61","0.00","32930.37",32930.6033228245
"190","LB",1962,20668,2424,23093,0.1,"0.79","0.19","0.02","0.00",23092,"2062.89","27713.71","1072.29","0.00","30848.88",30848.8812236218
"191","LB",1963,65183,20476,85660,0.24,"0.35","0.65","0.01","0.00",85659,"5180.68","28477.75","600.89","0.00","34259.32",34259.3238148492
