"Year","CU","Escape","CUinfill","Return","Age3","Age4","Age5","Age6","Recruit"
1954,"3 - Upper Knight",6500,FALSE,7824.09770891401,NA,NA,NA,NA,NA
1955,"3 - Upper Knight",4650,FALSE,5447.76001580798,NA,NA,NA,NA,34469.9211501764
1956,"3 - Upper Knight",18000,FALSE,22103.1406509468,NA,NA,NA,NA,21991.0282999364
1957,"3 - Upper Knight",38900,FALSE,42410.9123876498,NA,NA,NA,NA,49597.6159314911
1958,"3 - Upper Knight",40000,FALSE,45241.652473872,0.434782609,0.565217391,0,0,8467.75514061061
1959,"3 - Upper Knight",20000,FALSE,22594.979718425,0.332003384,0.645675951,0.022320665,0,20713.6554060831
1960,"3 - Upper Knight",19250,FALSE,22578.8930311275,0.38852246,0.602150137,0.009327403,0,16984.024250583
1961,"3 - Upper Knight",42000,FALSE,46582.0656230407,0.110520263,0.870297783,0.019181954,0,5452.57119062474
1962,"3 - Upper Knight",16500,FALSE,17213.0003607443,0.793783478,0.18966273,0.016553792,0,4503.20069651641
1963,"3 - Upper Knight",9750,FALSE,10724.7044425325,0.348690017,0.646197641,0.005112342,0,1068.2634141182
1964,"3 - Upper Knight",16500,FALSE,17258.9765235094,0.228833951,0.764214223,0.006951826,0,1875.74166896712
1965,"3 - Upper Knight",2275,FALSE,2322.22722489595,0.357271453,0.619099703,0.023628843,0,432.879943147422
1966,"3 - Upper Knight",4342.34035400659,FALSE,4408.85147393677,0.155156647,0.830000209,0.014843144,0,11354.6535879524
1967,"3 - Upper Knight",998.240048114959,FALSE,1046.96338769507,0.626558615,0.359890236,0.013551149,0,2447.32811570613
1968,"3 - Upper Knight",1350,FALSE,1468.54084094681,0.167854993,0.827099929,0.005045077,0,48247.6544262457
1969,"3 - Upper Knight",128.805167498704,FALSE,139.657086108021,0.455814611,0.507468931,0.036716458,0,37801.9168974873
1970,"3 - Upper Knight",11119.3549385062,FALSE,12329.7835176758,0.085277353,0.905354568,0.00936808,0,6472.76399999725
1971,"3 - Upper Knight",1111.93549385062,FALSE,1180.85555802739,0.415203238,0.4762568,0.108539962,0,5842.71821695894
1972,"3 - Upper Knight",39804.7865783938,FALSE,45191.4296410417,0.071381929,0.910174611,0.01844346,0,24671.1680093849
1973,"3 - Upper Knight",34237.6835604366,FALSE,39764.0291021536,0.026375264,0.807845091,0.165779645,0,4610.57398473985
1974,"3 - Upper Knight",9185.71997962933,FALSE,9621.40247718288,0.207801318,0.533806974,0.254940979,0.003450729,9131.13735743073
1975,"3 - Upper Knight",7775,FALSE,8672.59264691309,0.563003677,0.403787627,0.033208696,0,2518.45781255551
1976,"3 - Upper Knight",20600,FALSE,23598.6333884666,0.148130862,0.837398279,0.014470859,0,4592.77683783438
1977,"3 - Upper Knight",1180,FALSE,1218.15972742144,0.234392947,0.743433053,0.022174,0,2320.05296790585
1978,"3 - Upper Knight",8895.48395080496,FALSE,10128.9886685415,0.142596397,0.836743309,0.020660293,0,4525.03776807231
1979,"3 - Upper Knight",1778.44337120874,TRUE,2208.10254672279,0.363502131,0.468821864,0.167676005,0,1931.47293911145
1980,"3 - Upper Knight",5300.92204752032,TRUE,5296.84678329669,0.282814359,0.709842824,0.007342816,0,2416.82812131641
1981,"3 - Upper Knight",444.774197540248,FALSE,450.444177939286,0.138790193,0.794168918,0.067040888,0,2965.20443633598
1982,"3 - Upper Knight",5224.00872783935,TRUE,5756.25810892485,0.194338101,0.725085861,0.080576039,0,5651.84539896447
1983,"3 - Upper Knight",1037.80646092725,FALSE,1058.85250300356,0.17545752,0.559505096,0.264580855,0.000456529,3837.45916143068
1984,"3 - Upper Knight",4800.05286835257,TRUE,4843.64519362387,0.492194218,0.460534284,0.045498646,0.001772852,3524.53353637595
1985,"3 - Upper Knight",15.4566200998445,FALSE,15.9946876109813,0.370820705,0.605432917,0.023746378,0,1892.09308783065
1986,"3 - Upper Knight",5890.04414542999,FALSE,6466.94576262736,0.112026474,0.799713213,0.088260313,0,4925.19691033103
1987,"3 - Upper Knight",3435.85908483416,FALSE,3491.85587408785,0.107184036,0.760114635,0.132491723,0.000209605,2107.76330741585
1988,"3 - Upper Knight",2945.022072715,FALSE,3262.81422918019,0.067719023,0.793794816,0.137845503,0.003546099,1044.90116756554
1989,"3 - Upper Knight",1976.95491095211,TRUE,2335.23906777607,0.121743489,0.635453626,0.238942462,0.003860422,907.175576314398
1990,"3 - Upper Knight",2699.60356665541,FALSE,3012.13028011016,0.011478832,0.92783509,0.059932613,0.000753466,233.65215390322
1991,"3 - Upper Knight",4236.72214504613,TRUE,4494.46727984632,0.130959458,0.45693836,0.410616461,0.001485721,409.158106190136
1992,"3 - Upper Knight",148.258065846749,FALSE,167.594901809328,0.037362136,0.877477468,0.081375433,0.003784963,2145.00807498423
1993,"3 - Upper Knight",1114.90065516755,FALSE,1224.13753316308,0.044506774,0.699309101,0.251401203,0.004782922,3294.49205447839
1994,"3 - Upper Knight",148.258065846749,FALSE,165.184359836031,0.097864748,0.64105794,0.252010048,0.009067263,12904.6446017864
1995,"3 - Upper Knight",237.212905354799,FALSE,253.879742963076,0.202224658,0.575100681,0.209931475,0.012743185,2183.44981016769
1996,"3 - Upper Knight",2915.29538465053,TRUE,2933.6827708212,0.236010961,0.673546814,0.083631793,0.006810432,3378.71397061295
1997,"3 - Upper Knight",2223.87098770124,FALSE,2283.50288864898,0.136149443,0.816562034,0.046408017,0.000716801,1255.13212697916
1998,"3 - Upper Knight",14148.2672237553,FALSE,15153.7916016938,0.12256204,0.828015044,0.048649393,0.000773523,3153.82920364556
1999,"3 - Upper Knight",131.949678603607,FALSE,134.65405459587,0.125920036,0.670742577,0.201360187,0.0019772,10146.2670531496
2000,"3 - Upper Knight",3716.82971077801,FALSE,3996.37914577161,0.098899426,0.837313443,0.05901642,0.004770711,7914.0857524282
2001,"3 - Upper Knight",515.938069146688,FALSE,530.250741365828,0.283833921,0.686866081,0.029299997,0,5500.35952196425
2002,"3 - Upper Knight",3706.45164616873,FALSE,3860.91555909121,0.199157059,0.675227201,0.125615739,0,4474.40528027819
2003,"3 - Upper Knight",7578.95232608583,FALSE,8049.49008251754,0.103552054,0.849815148,0.045304824,0.001327974,6365.93107839479
2004,"3 - Upper Knight",11411.9195202455,TRUE,10697.7397500932,0.16331283,0.605765883,0.230921287,0.00295858,2697.71343038116
2005,"3 - Upper Knight",4865.00996766287,TRUE,4889.19911516455,0.130621709,0.733028191,0.122764228,0.013585871,7890.26666148945
2006,"3 - Upper Knight",3078.11908844465,TRUE,4130.74599866246,0.167,0.792,0.041,0,1821.07356100802
2007,"3 - Upper Knight",6877.40708569459,TRUE,5823.63462105612,0.04040404,0.863636364,0.095959596,0,9393.0413387117
2008,"3 - Upper Knight",5337.24987355562,TRUE,4597.40423236347,0.395008918,0.466461382,0.137358326,0.001171374,5822.14391330474
2009,"3 - Upper Knight",7028.3179984566,TRUE,6072.88528238402,0.037342421,0.907822746,0.052348022,0.002486811,9324.80036014499
2010,"3 - Upper Knight",3156.48565579213,TRUE,2650.14002022626,0.2275281,0.562395504,0.210076396,0,4034.3614320535
2011,"3 - Upper Knight",5461.57308403388,TRUE,5904.3645117485,0.017723127,0.963936844,0.017592154,0.000747876,3968.96718902954
2012,"3 - Upper Knight",10398.6392527679,TRUE,8839.14888147102,0.13688275,0.527160146,0.335957104,0,13171.6741291845
2013,"3 - Upper Knight",10526.3073271344,TRUE,9125.56155690808,0.072836563,0.798028306,0.114993462,0.014141668,NA
2014,"3 - Upper Knight",4946.25348602256,TRUE,4005.33034350449,0.081977775,0.709105419,0.20680133,0.002115476,NA
2015,"3 - Upper Knight",5262.26494603958,TRUE,4812.79056673975,0.263387596,0.637086049,0.098672531,0.000853825,NA
2016,"3 - Upper Knight",14294.7577431408,TRUE,12283.9245912629,0.050826697,0.902511642,0.046661661,0.004444444,NA
2017,"3 - Upper Knight",5056.63523659922,TRUE,4082.84771780457,0.230463241,0.569076663,0.200149267,0.000310829,NA
2018,"3 - Upper Knight",3938.97744398131,TRUE,3155.4403035223,0.304458325,0.648711434,0.04667785,0.000152391,NA
1953,"4 - Loughborough",26635.362716456,FALSE,0,NA,NA,NA,NA,NA
1954,"4 - Loughborough",33399.9725751493,FALSE,54094.9804722049,NA,NA,NA,NA,NA
1955,"4 - Loughborough",10664.2965610232,FALSE,15218.7476336386,NA,NA,NA,NA,45613.2953462678
1956,"4 - Loughborough",14990.6966860194,FALSE,24425.4226514493,NA,NA,NA,NA,19532.8231645834
1957,"4 - Loughborough",56670.6990505417,FALSE,69396.8990537697,NA,NA,NA,NA,32905.939485235
1958,"4 - Loughborough",38411.5130751832,FALSE,54656.4878692223,0.434782609,0.565217391,0,0,8306.38993131898
1959,"4 - Loughborough",23961.3105578261,FALSE,33653.891950944,0.332003384,0.645675951,0.022320665,0,71523.4083206895
1960,"4 - Loughborough",8602.43167949806,FALSE,12875.6376703629,0.38852246,0.602150137,0.009327403,0,124425.040537576
1961,"4 - Loughborough",24633.2287664013,FALSE,31620.8747517735,0.110520263,0.870297783,0.019181954,0,32850.4825061304
1962,"4 - Loughborough",20694.7609473185,FALSE,23190.3282636261,0.793783478,0.18966273,0.016553792,0,30847.2821790138
1963,"4 - Loughborough",64272.1070612348,FALSE,80843.8812167531,0.348690017,0.646197641,0.005112342,0,33362.917703033
1964,"4 - Loughborough",114507.747667995,FALSE,125748.769327161,0.228833951,0.764214223,0.006951826,0,146830.868988351
1965,"4 - Loughborough",5522.15534781111,FALSE,5780.56983988465,0.357271453,0.619099703,0.023628843,0,38310.7904936823
1966,"4 - Loughborough",32380.9841239598,FALSE,33425.9181589267,0.155156647,0.830000209,0.014843144,0,213226.039364265
1967,"4 - Loughborough",68290.1724085368,FALSE,76637.8212817346,0.626558615,0.359890236,0.013551149,0,31612.9542515168
1968,"4 - Loughborough",92450.3978143713,FALSE,118028.075882343,0.167854993,0.827099929,0.005045077,0,152748.705009392
1969,"4 - Loughborough",24100.1202822421,FALSE,32458.7041363751,0.455814611,0.507468931,0.036716458,0,186287.036499341
1970,"4 - Loughborough",157625.305873248,FALSE,216416.251026532,0.085277353,0.905354568,0.00936808,0,26235.9714854014
