"","Year","CU","Escape"
"314",2002,"BI",58772.1416308584
"315",2003,"BI",34500.7391310541
"316",2004,"BI",1247.5836145821
"317",2005,"BI",38038.1669487692
"318",2006,"BI",24065.7651084286
"319",2007,"BI",507.491639830007
"320",2008,"BI",41727.9760236575
"321",2009,"BI",54949.233580613
"322",2010,"BI",24678.4022654554
"323",2011,"BI",42700.0540385423
"324",2012,"BI",81299.1303975508
"325",2013,"BI",82297.1822444181
"326",2014,"BI",38671.5297084281
"327",2015,"BI",41064.6552675201
"328",2016,"BI",111760.218916289
"329",2017,"BI",39534.3490532521
"330",2018,"BI",30796.1655419809
"331",1953,"GS",321123.433367255
"332",1954,"GS",438337.387169206
"333",1955,"GS",148885.47655645
"334",1956,"GS",177436.16981404
"335",1957,"GS",351513.078410943
"336",1958,"GS",463161.574440395
"337",1959,"GS",275466.278738131
"338",1960,"GS",141979.405980101
"339",1961,"GS",159784.233205332
"340",1962,"GS",191058.213813986
"341",1963,"GS",110866.762639084
"342",1964,"GS",157220.332747594
"343",1965,"GS",118081.190636335
"344",1966,"GS",298157.425492802
"345",1967,"GS",186573.198925457
"346",1968,"GS",392174.618763489
"347",1969,"GS",283572.499587204
"348",1970,"GS",209709.828423617
"349",1971,"GS",137644.187245569
"350",1972,"GS",445521.46540075
"351",1973,"GS",322424.486550474
"352",1974,"GS",314095.86027325
"353",1975,"GS",160790.299576913
"354",1976,"GS",144202.38204098
"355",1977,"GS",335393.904861273
"356",1978,"GS",399041.325772582
"357",1979,"GS",183374.832861914
"358",1980,"GS",370157.54587718
"359",1981,"GS",337493.538509019
"360",1982,"GS",342253.833976414
"361",1983,"GS",315771.270019691
"362",1984,"GS",405823.314233125
"363",1985,"GS",584246.714324838
"364",1986,"GS",292265.86610998
"365",1987,"GS",469942.883759013
"366",1988,"GS",441374.608805909
"367",1989,"GS",180519.099782385
"368",1990,"GS",455624.272255965
"369",1991,"GS",395014.922473637
"370",1992,"GS",468591.480430129
"371",1993,"GS",560035.91399288
"372",1994,"GS",422610.304746032
"373",1995,"GS",201555.853111695
"374",1996,"GS",242957.52704993
"375",1997,"GS",272483.747439936
"376",1998,"GS",500722.675879647
"377",1999,"GS",268173.808985818
"378",2000,"GS",120871.514860765
"379",2001,"GS",516825.248258028
"380",2002,"GS",443640.819631065
"381",2003,"GS",522690.198376377
"382",2004,"GS",611249.863052182
"383",2005,"GS",397549.937822883
"384",2006,"GS",387101.410821718
"385",2007,"GS",486213.83166152
"386",2008,"GS",367811.23137715
"387",2009,"GS",359596.91139646
"388",2010,"GS",250900.041142268
"389",2011,"GS",481730.624193432
"390",2012,"GS",657632.693888594
"391",2013,"GS",497192.977692565
"392",2014,"GS",486921.625172356
"393",2015,"GS",348885.044653872
"394",2016,"GS",803197.006997804
"395",2017,"GS",545167.501757399
"396",2018,"GS",505713.200024835
"397",1953,"HSBI",39645.4097215144
"398",1954,"HSBI",96244.8727060505
"399",1955,"HSBI",41350.0174877626
"400",1956,"HSBI",20680.5991874599
"401",1957,"HSBI",111361.699664904
"402",1958,"HSBI",123061.930338815
"403",1959,"HSBI",254906.79331139
"404",1960,"HSBI",84410.0663912496
"405",1961,"HSBI",49910.917789784
"406",1962,"HSBI",79477.0105631896
"407",1963,"HSBI",67547.3984299725
"408",1964,"HSBI",60260.6623702237
"409",1965,"HSBI",25510.0619457835
"410",1966,"HSBI",42770.6013717863
"411",1967,"HSBI",63553.0523350801
"412",1968,"HSBI",176920.529116528
"413",1969,"HSBI",109602.533564891
"414",1970,"HSBI",181472.727290339
"415",1971,"HSBI",60386.9230354141
"416",1972,"HSBI",460874.417910211
"417",1973,"HSBI",359326.448789836
"418",1974,"HSBI",202048.271424687
"419",1975,"HSBI",98399.2674951969
"420",1976,"HSBI",175408.191057154
"421",1977,"HSBI",196254.541293444
"422",1978,"HSBI",183507.796760735
"423",1979,"HSBI",53299.8205561509
"424",1980,"HSBI",333950.190013179
"425",1981,"HSBI",201499.563816114
"426",1982,"HSBI",194433.796127383
"427",1983,"HSBI",147445.54713106
"428",1984,"HSBI",211022.91761604
"429",1985,"HSBI",444246.112148732
"430",1986,"HSBI",284853.224865681
"431",1987,"HSBI",113820.932239291
"432",1988,"HSBI",135583.603594756
"433",1989,"HSBI",85086.1331195135
"434",1990,"HSBI",129961.407275074
"435",1991,"HSBI",166264.021287033
"436",1992,"HSBI",210875.9265028
