"","CU_Name","Year","GroupEsc","SumRawEsc"
"131","2 - North East Vancouver Island","2017",10720.1444529558,310
"132","2 - North East Vancouver Island","2018",462.729213114764,390
"133","3 - Upper Knight","1953",17250,17250
"134","3 - Upper Knight","1954",6500,6500
"135","3 - Upper Knight","1955",4650,4650
"136","3 - Upper Knight","1956",18000,18000
"137","3 - Upper Knight","1957",38900,38900
"138","3 - Upper Knight","1958",40000,40000
"139","3 - Upper Knight","1959",20000,20000
"140","3 - Upper Knight","1960",19250,19250
"141","3 - Upper Knight","1961",42000,42000
"142","3 - Upper Knight","1962",16500,16500
"143","3 - Upper Knight","1963",9750,9750
"144","3 - Upper Knight","1964",16500,16500
"145","3 - Upper Knight","1965",2275,2275
"146","3 - Upper Knight","1966",4342.34035400659,3900
"147","3 - Upper Knight","1967",998.240048114959,775
"148","3 - Upper Knight","1968",1350,1350
"149","3 - Upper Knight","1969",128.805167498704,100
"150","3 - Upper Knight","1970",11119.3549385062,7500
"151","3 - Upper Knight","1971",1111.93549385062,750
"152","3 - Upper Knight","1972",39804.7865783938,35750
"153","3 - Upper Knight","1973",34237.6835604366,30750
"154","3 - Upper Knight","1974",9185.71997962933,8250
"155","3 - Upper Knight","1975",7775,7775
"156","3 - Upper Knight","1976",20600,20600
"157","3 - Upper Knight","1977",1180,1180
"158","3 - Upper Knight","1978",8895.48395080496,6000
"159","3 - Upper Knight","1979",NA,0
"160","3 - Upper Knight","1980",NA,0
"161","3 - Upper Knight","1981",444.774197540248,300
"162","3 - Upper Knight","1982",NA,0
"163","3 - Upper Knight","1983",1037.80646092725,700
"164","3 - Upper Knight","1984",NA,0
"165","3 - Upper Knight","1985",15.4566200998445,12
"166","3 - Upper Knight","1986",5890.04414542999,600
"167","3 - Upper Knight","1987",3435.85908483416,350
"168","3 - Upper Knight","1988",2945.022072715,300
"169","3 - Upper Knight","1989",NA,0
"170","3 - Upper Knight","1990",2699.60356665541,275
"171","3 - Upper Knight","1991",NA,0
"172","3 - Upper Knight","1992",148.258065846749,100
"173","3 - Upper Knight","1993",1114.90065516755,752
"174","3 - Upper Knight","1994",148.258065846749,100
"175","3 - Upper Knight","1995",237.212905354799,160
"176","3 - Upper Knight","1996",NA,0
"177","3 - Upper Knight","1997",2223.87098770124,1500
"178","3 - Upper Knight","1998",14148.2672237553,9543
"179","3 - Upper Knight","1999",131.949678603607,89
"180","3 - Upper Knight","2000",3716.82971077801,2507
"181","3 - Upper Knight","2001",515.938069146688,348
"182","3 - Upper Knight","2002",3706.45164616873,2500
"183","3 - Upper Knight","2003",7578.95232608583,5112
"184","3 - Upper Knight","2004",NA,0
"185","3 - Upper Knight","2005",NA,0
"186","3 - Upper Knight","2006",NA,0
"187","3 - Upper Knight","2007",NA,0
"188","3 - Upper Knight","2008",NA,0
"189","3 - Upper Knight","2009",NA,0
"190","3 - Upper Knight","2010",NA,0
"191","3 - Upper Knight","2011",NA,0
"192","3 - Upper Knight","2012",NA,0
"193","3 - Upper Knight","2013",NA,0
"194","3 - Upper Knight","2014",NA,0
"195","3 - Upper Knight","2015",NA,0
"196","3 - Upper Knight","2016",NA,0
"197","3 - Upper Knight","2017",NA,0
"198","3 - Upper Knight","2018",NA,0
"199","4 - Loughborough","1953",26635.362716456,25000
"200","4 - Loughborough","1954",33399.9725751493,33025
"201","4 - Loughborough","1955",10664.2965610232,10300
"202","4 - Loughborough","1956",14990.6966860194,14800
"203","4 - Loughborough","1957",56670.6990505417,54475
"204","4 - Loughborough","1958",38411.5130751832,37600
"205","4 - Loughborough","1959",23961.3105578261,22200
"206","4 - Loughborough","1960",8602.43167949806,8050
"207","4 - Loughborough","1961",24633.2287664013,23550
"208","4 - Loughborough","1962",20694.7609473185,19825
"209","4 - Loughborough","1963",64272.1070612348,56925
"210","4 - Loughborough","1964",114507.747667995,110950
"211","4 - Loughborough","1965",5522.15534781111,5025
"212","4 - Loughborough","1966",32380.9841239598,30600
"213","4 - Loughborough","1967",68290.1724085368,59550
"214","4 - Loughborough","1968",92450.3978143713,80500
"215","4 - Loughborough","1969",24100.1202822421,22175
"216","4 - Loughborough","1970",157625.305873248,142100
"217","4 - Loughborough","1971",20067.1376972885,18525
"218","4 - Loughborough","1972",83725.2774402921,76700
"219","4 - Loughborough","1973",132054.837474505,121525
"220","4 - Loughborough","1974",32498.6022432919,30150
"221","4 - Loughborough","1975",21104.7774042011,19400
"222","4 - Loughborough","1976",16620.8709920912,15450
"223","4 - Loughborough","1977",34891.215903238,32700
"224","4 - Loughborough","1978",20789.5360467419,19325
"225","4 - Loughborough","1979",13263.2628907687,12375
"226","4 - Loughborough","1980",17349.8717201202,16200
"227","4 - Loughborough","1981",22924.7076180067,19004
"228","4 - Loughborough","1982",50682.9017958,39490
"229","4 - Loughborough","1983",17121.0509026399,14600
"230","4 - Loughborough","1984",22871.1371946005,18860
"231","4 - Loughborough","1985",50848.857821773,45002
"232","4 - Loughborough","1986",40583.5475641957,36880
"233","4 - Loughborough","1987",19398.3163104617,16883
"234","4 - Loughborough","1988",92298.0703414284,85660
"235","4 - Loughborough","1989",12645.9619158028,10915
"236","4 - Loughborough","1990",106964.620948002,62281
"237","4 - Loughborough","1991",15746.0223977288,13541
"238","4 - Loughborough","1992",38975.4398625167,30060
"239","4 - Loughborough","1993",23772.7501455617,19679
"240","4 - Loughborough","1994",17782.4387421578,14205
"241","4 - Loughborough","1995",28622.269720242,13455
"242","4 - Loughborough","1996",15575.5816637416,6817
"243","4 - Loughborough","1997",8272.6117602733,6729
"244","4 - Loughborough","1998",46359.3629991801,39242
"245","4 - Loughborough","1999",7810.97116316691,6207
"246","4 - Loughborough","2000",4850.01222913862,3646
"247","4 - Loughborough","2001",49620.8886840128,33819
"248","4 - Loughborough","2002",48422.8800077455,39032
"249","4 - Loughborough","2003",14762.8824675049,11299
"250","4 - Loughborough","2004",17933.1108727059,3172
"251","4 - Loughborough","2005",18252.0698238902,2643
"252","4 - Loughborough","2006",11632.0065131524,4057
"253","4 - Loughborough","2007",27377.7282371027,6769
"254","4 - Loughborough","2008",23013.3728346626,4992
"255","4 - Loughborough","2009",40119.1852974993,29509
"256","4 - Loughborough","2010",3758.28281818177,2961
"257","4 - Loughborough","2011",71095.618246015,51822
"258","4 - Loughborough","2012",34445.3045225055,22962
"259","4 - Loughborough","2013",18440.776766307,4584
