"stk","alpha","beta","sigma","gamma"
3,3.39386136096744,0.00010097530677078,0.70529693984759,0.450583254566637
4,3.13513891839513,5.13702034880226e-05,0.497078294716541,0.450583254566637
5,3.13456669118674,6.42322125998798e-05,0.775664105337246,0.450583254566637
1,2.5965113161465,0.000107166241080678,0.779448336618357,0.342357793200965
2,2.53204839995761,0.000153253010628467,0.728136850921291,0.342357793200965
3,2.63041117575798,0.00010150144515814,0.620977242174665,0.342357793200965
4,2.62034940751243,4.91507215405182e-05,0.703225644006315,0.342357793200965
5,2.76996297411213,7.32490335166232e-05,1.02394797034735,0.342357793200965
1,2.32544562323453,0.000108098545478273,0.598895441116132,0.250713907866247
2,1.95663184676738,0.000133880948155479,0.71303379258778,0.250713907866247
3,2.42066385415455,9.33399354891232e-05,1.1332494608844,0.250713907866247
4,2.3714424307304,4.83968650466368e-05,0.757432863344266,0.250713907866247
5,2.3895400472563,6.60167905867972e-05,0.839913189162804,0.250713907866247
1,2.71783513078587,8.77800548914695e-05,0.64650020706192,0.366462274710507
2,2.53884966144632,0.000226655638286852,0.697517011285514,0.366462274710507
3,2.98357426375356,9.54619052434266e-05,0.889111247149663,0.366462274710507
4,2.75780143485538,5.46776019890279e-05,0.544825834463736,0.366462274710507
5,2.74716352131387,6.69706948620503e-05,0.75228167660741,0.366462274710507
1,2.11927938050171,8.81448985748636e-05,0.487974476202717,0.276876904230115
2,2.23369568312402,0.000213123135701843,0.719730235822977,0.276876904230115
3,2.43612034700004,9.71862494345418e-05,0.730235875703123,0.276876904230115
4,2.41655865201755,5.21429333835788e-05,0.687106779068233,0.276876904230115
5,2.35390954333853,7.17689846244214e-05,0.630168722947689,0.276876904230115
1,2.64172090502023,9.67528890121869e-05,0.579301767197881,0.36145587034735
2,2.15647101135513,9.79153225946423e-05,0.922844636878524,0.36145587034735
3,2.76993658924281,0.00010468899718558,0.792629119688049,0.36145587034735
4,2.78768541060571,5.16803709562168e-05,0.562244882345404,0.36145587034735
5,2.78801586443744,7.21378132110018e-05,0.771703404062512,0.36145587034735
1,2.33971456104168,9.2524930137186e-05,0.461368555269377,0.303717810689481
2,2.2664195868932,0.000140452306959168,0.773087984394831,0.303717810689481
3,2.665625157381,9.36741581473395e-05,1.02384931616538,0.303717810689481
4,2.43759292299555,5.03114052277488e-05,0.540803781263155,0.303717810689481
5,2.47058989184535,7.32471585547004e-05,0.710921818653439,0.303717810689481
1,3.28661772325279,0.000104692645251367,0.943439190800202,0.417057946879254
2,2.52707699036391,0.000165947858067001,0.609196089717038,0.417057946879254
3,3.0992619177789,9.22609909221097e-05,0.753322742908376,0.417057946879254
4,2.99725739555012,4.97108370306647e-05,0.611914323307347,0.417057946879254
5,3.10039617459268,6.94041960957888e-05,0.657348959576489,0.417057946879254
1,2.03218819307783,0.000111628544387267,0.592390052178443,0.199323891031964
2,1.56383433491423,0.000214013944451306,0.61850862896506,0.199323891031964
3,2.18842389451918,0.000100936858947687,0.805418059709509,0.199323891031964
