"stk","alpha","beta","sigma","gamma","Sgen"
3,2.641955149948,2.77715091945785e-05,0.691786757133354,0.53266174214685,2947.96786896591
4,3.34485549451392,8.20085760632268e-05,0.463497342470289,0.53266174214685,2714.0642589342
5,2.4463402824245,3.74901721267464e-05,0.546186785832983,0.53266174214685,108.950386585682
1,3.19329268214072,0.000143941100667488,0.475302786961612,0.54569945783103,1822.33180297108
2,3.23228714630255,0.000276466177068397,0.571299102180664,0.54569945783103,94.333621393656
3,2.58136235661713,3.2263246206298e-05,0.662859414818665,0.54569945783103,2902.59336421698
4,3.48063056744157,7.42420476351997e-05,0.503679873838317,0.54569945783103,2450.85973288107
5,2.35659919342723,4.36194766794793e-05,0.601085869978889,0.54569945783103,110.570101692306
1,3.40836280409591,0.000110024837736785,0.508352970462434,0.592634105836104,2150.22943781599
2,3.78001879901319,0.000383329885437038,0.887942371241198,0.592634105836104,571.068663503708
3,4.03340990991686,0.00018338075655546,0.846395041572516,0.592634105836104,746.708544841553
4,3.79690536186031,7.78743563282194e-05,0.373963737365123,0.592634105836104,2265.9323447702
5,2.74429254686722,4.00744069538211e-05,0.891044979014447,0.592634105836104,309.680962153653
1,3.01505829314496,0.000125297224779489,0.466610272722669,0.507948977529874,1185.65673940977
2,3.52815656220536,0.000381509303493604,0.536514945613484,0.507948977529874,443.977152727061
3,2.8217775450499,9.29086518581011e-05,0.569188290533809,0.507948977529874,1891.26604949628
4,3.13298162094651,6.12158136972756e-05,0.485436467608512,0.507948977529874,2965.00029075999
5,2.99220722905462,7.89668941444414e-05,0.679690969436085,0.507948977529874,3493.34891119985
1,3.0420847267228,0.000158699797262378,0.461986958576761,0.502083692277449,1615.8402213919
2,3.30424585429096,0.00036624127180596,0.672500001088628,0.502083692277449,242.321426393408
3,2.80286416051321,0.000109693949181791,0.520641574114231,0.502083692277449,1906.51828093607
4,3.12901047467518,7.55280647846965e-05,0.459143142790627,0.502083692277449,2579.53299210689
5,2.8772054632416,7.82114126941571e-05,0.660259854708386,0.502083692277449,1625.29791662407
1,2.58527494228399,6.35741500316735e-05,0.533532446164607,0.518757478024532,1758.22071093606
2,3.14241145673412,0.00030349987056301,0.638307354542346,0.518757478024532,750.685268128441
3,3.11901942891913,0.000108418758218875,0.599910016068373,0.518757478024532,2047.83650398395
4,3.36350729579208,7.62805052697192e-05,0.452997334422863,0.518757478024532,2671.78534757257
5,2.81005674181202,5.06049448954079e-05,0.637465132693674,0.518757478024532,3383.21637676138
1,2.80626559599776,0.00014007220104843,0.472213457629369,0.418275732027363,1024.28788196201
2,3.17533370422735,0.00038730419629915,0.630390105174845,0.418275732027363,189.985888542237
3,2.76613266977769,0.000105534001530831,0.856015185262095,0.418275732027363,1973.01125037476
4,2.86555729291937,7.53022865227706e-05,0.418816914120593,0.418275732027363,2854.9603838378
5,2.42734565796816,8.70452729560172e-05,0.601856802718792,0.418275732027363,2254.69319026958
1,3.01847016929585,0.000124126638058357,0.685514541334511,0.534055848831132,1556.13355848756
2,3.33644613982747,0.000275965543989486,0.646355932848025,0.534055848831132,667.611800242999
3,2.6247219676894,6.44637135849277e-05,0.545081739717891,0.534055848831132,2074.79690169736
4,3.57822368706956,0.000104156226376346,0.37342939783749,0.534055848831132,1528.49173124394
5,3.01741297256544,7.62557258221476e-05,0.57203467499331,0.534055848831132,2550.10911677807
1,1.89784767789743,8.80408373708165e-05,0.444316062865236,0.290315861505545,1537.21900624886
2,2.23017830439952,0.000341567379599891,0.679180771115545,0.290315861505545,143.444968292511
3,2.60965456196643,0.000200921002591711,0.819123820997939,0.290315861505545,794.589682109694
4,2.54863387989565,8.37457147239189e-05,0.653715735905702,0.290315861505545,2378.98331642281
5,1.99074759247515,9.74643559269735e-05,0.622481113877614,0.290315861505545,2692.63803265325
1,2.59372017322617,0.000124646303778273,0.610284143128824,0.403986759532632,1179.88963454858
2,2.67021198969909,0.000283303495912005,0.749599058847264,0.403986759532632,939.820809373827
3,2.39613247592924,6.18736715194799e-05,0.590071767977173,0.403986759532632,2731.57271647691
4,2.45469807563956,5.94858959554372e-05,0.392483501664926,0.403986759532632,3633.75843609293
5,2.35727586697745,8.24020589972972e-05,0.52832092367059,0.403986759532632,2566.62604588004
1,2.02670557619985,0.000101463619819295,0.417136943782985,0.333408936887402,1732.0033969015
2,2.06716621722212,0.000263259813082586,0.668403361197295,0.333408936887402,266.725495522444
3,1.72049058521515,3.7935793620521e-05,0.841617815374386,0.333408936887402,2887.05509781092
4,3.02829157717591,0.000104578061259558,0.627978587815798,0.333408936887402,1565.61468363976
5,2.50643773741055,9.99860379180683e-05,0.686084871661137,0.333408936887402,1942.83677127567
1,1.93046743476657,9.94454929890344e-05,0.639160690588246,0.321107030842568,1268.74735476414
2,2.78582019643635,0.00037667262710013,0.486364733982807,0.321107030842568,394.414663177519
3,2.06995437779103,9.35958164174329e-05,0.558674279662296,0.321107030842568,1699.19597593351
4,2.38226356107517,7.83251408200501e-05,0.515159796523248,0.321107030842568,2675.32401334312
5,2.04442627482383,5.72703876294119e-05,0.690485025591528,0.321107030842568,3136.34814776715
1,2.14340158264858,5.08454086231964e-05,0.41737145348883,0.350876541532497,3726.82210750882
2,2.36922586208069,0.000288592946556118,0.817596140568521,0.350876541532497,15.6621053512792
3,2.83019281978756,0.000224983443431094,0.958531748827322,0.350876541532497,862.726016475095
4,2.8352596829202,9.41746872195627e-05,0.498636333083506,0.350876541532497,1865.34778601777
5,2.31420884285175,8.0375983990986e-05,0.595343015443369,0.350876541532497,2183.05482010166
1,2.26073075066375,9.44655611592618e-05,0.520873606308432,0.422509213704534,1028.17959886672
2,2.2086994808414,0.000184449646317359,0.614505390040659,0.422509213704534,29.4352183619002
3,2.70669604512361,0.000140913838219881,0.770953884871612,0.422509213704534,1409.43634121253
4,2.53446145606213,5.17812480108284e-05,0.553058540348948,0.422509213704534,3407.95387474889
5,2.79489174228269,0.000101800663719232,0.495705974853943,0.422509213704534,1879.26674444543
1,2.80641265631502,0.000141724425834263,0.748978579459761,0.454031327165509,1012.12142357899
2,3.26238955903677,0.000362396042557327,0.66986951274397,0.454031327165509,961.241056979172
3,2.939842803462,0.000111176050554502,0.608221746415045,0.454031327165509,2047.36512913929
4,2.87237382525275,6.50417770085756e-05,0.573710556319017,0.454031327165509,2903.45449209232
5,2.23103243999547,3.28822203862767e-05,0.748444348797959,0.454031327165509,3041.54354553579
