"year","scenario","Amber","Green","None","Red","lrp_status","num_CU","scenario_name"
1977,"3",4,0,0,1,"below",5,"3. Prop: Scanner: 5CUs partial"
1978,"3",3,0,0,2,"below",5,"3. Prop: Scanner: 5CUs partial"
1979,"3",2,0,0,2,"below",4,"3. Prop: Scanner: 5CUs partial"
1980,"3",2,0,0,2,"below",4,"3. Prop: Scanner: 5CUs partial"
1981,"3",2,0,0,3,"below",5,"3. Prop: Scanner: 5CUs partial"
1982,"3",2,0,0,2,"below",4,"3. Prop: Scanner: 5CUs partial"
1983,"3",2,1,0,2,"below",5,"3. Prop: Scanner: 5CUs partial"
1984,"3",2,1,0,1,"below",4,"3. Prop: Scanner: 5CUs partial"
1985,"3",0,4,0,1,"below",5,"3. Prop: Scanner: 5CUs partial"
1986,"3",1,3,0,1,"below",5,"3. Prop: Scanner: 5CUs partial"
1987,"3",0,4,0,1,"below",5,"3. Prop: Scanner: 5CUs partial"
1988,"3",0,4,0,1,"below",5,"3. Prop: Scanner: 5CUs partial"
1989,"3",2,2,0,0,"above",4,"3. Prop: Scanner: 5CUs partial"
1990,"3",2,2,0,1,"below",5,"3. Prop: Scanner: 5CUs partial"
1991,"3",2,2,0,0,"above",4,"3. Prop: Scanner: 5CUs partial"
1992,"3",2,2,0,1,"below",5,"3. Prop: Scanner: 5CUs partial"
1993,"3",1,3,0,1,"below",5,"3. Prop: Scanner: 5CUs partial"
1994,"3",1,2,0,2,"below",5,"3. Prop: Scanner: 5CUs partial"
1995,"3",1,3,0,1,"below",5,"3. Prop: Scanner: 5CUs partial"
1996,"3",2,1,0,1,"below",4,"3. Prop: Scanner: 5CUs partial"
1997,"3",1,2,0,2,"below",5,"3. Prop: Scanner: 5CUs partial"
1998,"3",2,1,0,2,"below",5,"3. Prop: Scanner: 5CUs partial"
1999,"3",2,0,0,3,"below",5,"3. Prop: Scanner: 5CUs partial"
2000,"3",2,0,0,3,"below",5,"3. Prop: Scanner: 5CUs partial"
2001,"3",1,1,0,3,"below",5,"3. Prop: Scanner: 5CUs partial"
2002,"3",1,1,0,3,"below",5,"3. Prop: Scanner: 5CUs partial"
2003,"3",1,2,0,2,"below",5,"3. Prop: Scanner: 5CUs partial"
2004,"3",0,4,0,0,"above",4,"3. Prop: Scanner: 5CUs partial"
2005,"3",0,3,0,1,"below",4,"3. Prop: Scanner: 5CUs partial"
2006,"3",0,2,0,2,"below",4,"3. Prop: Scanner: 5CUs partial"
2007,"3",0,2,0,2,"below",4,"3. Prop: Scanner: 5CUs partial"
2008,"3",0,2,0,2,"below",4,"3. Prop: Scanner: 5CUs partial"
2009,"3",1,2,0,1,"below",4,"3. Prop: Scanner: 5CUs partial"
2010,"3",1,1,0,2,"below",4,"3. Prop: Scanner: 5CUs partial"
2011,"3",1,1,0,2,"below",4,"3. Prop: Scanner: 5CUs partial"
2012,"3",1,2,0,1,"below",4,"3. Prop: Scanner: 5CUs partial"
2013,"3",0,2,0,2,"below",4,"3. Prop: Scanner: 5CUs partial"
2014,"3",0,3,0,1,"below",4,"3. Prop: Scanner: 5CUs partial"
2015,"3",0,2,0,2,"below",4,"3. Prop: Scanner: 5CUs partial"
2016,"3",0,2,0,2,"below",4,"3. Prop: Scanner: 5CUs partial"
2017,"3",0,2,0,2,"below",4,"3. Prop: Scanner: 5CUs partial"
2018,"3",0,2,0,2,"below",4,"3. Prop: Scanner: 5CUs partial"
1960,"5",2,2,1,0,"above",5,"5. Prop: Scanner: 5CUs full"
1961,"5",2,1,1,1,"below",5,"5. Prop: Scanner: 5CUs full"
1962,"5",0,1,1,3,"below",5,"5. Prop: Scanner: 5CUs full"
1963,"5",1,1,1,2,"below",5,"5. Prop: Scanner: 5CUs full"
1964,"5",0,2,1,2,"below",5,"5. Prop: Scanner: 5CUs full"
1965,"5",0,1,0,3,"below",4,"5. Prop: Scanner: 5CUs full"
1966,"5",1,1,0,2,"below",4,"5. Prop: Scanner: 5CUs full"
1967,"5",1,1,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
1968,"5",2,2,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1969,"5",1,3,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1970,"5",2,2,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1971,"5",2,2,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1972,"5",2,2,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1973,"5",1,3,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1974,"5",1,3,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1975,"5",1,3,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1976,"5",2,2,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1977,"5",3,1,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1978,"5",2,1,0,2,"below",5,"5. Prop: Scanner: 5CUs full"
1979,"5",2,1,0,2,"below",5,"5. Prop: Scanner: 5CUs full"
1980,"5",2,1,0,2,"below",5,"5. Prop: Scanner: 5CUs full"
1981,"5",2,0,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
1982,"5",2,0,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
1983,"5",2,2,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1984,"5",2,2,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1985,"5",0,5,0,0,"above",5,"5. Prop: Scanner: 5CUs full"
1986,"5",1,3,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1987,"5",0,4,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1988,"5",0,4,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1989,"5",2,2,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1990,"5",2,2,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1991,"5",2,2,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1992,"5",2,2,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1993,"5",1,3,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1994,"5",1,2,0,2,"below",5,"5. Prop: Scanner: 5CUs full"
1995,"5",1,3,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
1996,"5",2,1,0,2,"below",5,"5. Prop: Scanner: 5CUs full"
1997,"5",1,2,0,2,"below",5,"5. Prop: Scanner: 5CUs full"
1998,"5",2,1,0,2,"below",5,"5. Prop: Scanner: 5CUs full"
1999,"5",2,0,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
2000,"5",2,0,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
2001,"5",1,1,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
2002,"5",1,1,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
2003,"5",1,2,0,2,"below",5,"5. Prop: Scanner: 5CUs full"
2004,"5",0,4,0,1,"below",5,"5. Prop: Scanner: 5CUs full"
2005,"5",0,3,0,2,"below",5,"5. Prop: Scanner: 5CUs full"
2006,"5",0,2,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
2007,"5",0,2,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
2008,"5",0,2,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
2009,"5",1,2,0,2,"below",5,"5. Prop: Scanner: 5CUs full"
2010,"5",1,1,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
2011,"5",1,1,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
2012,"5",1,2,0,2,"below",5,"5. Prop: Scanner: 5CUs full"
2013,"5",0,2,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
2014,"5",0,3,0,2,"below",5,"5. Prop: Scanner: 5CUs full"
2015,"5",0,2,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
2016,"5",0,2,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
2017,"5",0,2,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
2018,"5",0,2,0,3,"below",5,"5. Prop: Scanner: 5CUs full"
1960,"6",2,3,2,0,"above",7,"6. Prop: Scanner: 7CUs partial"
1961,"6",2,2,2,1,"below",7,"6. Prop: Scanner: 7CUs partial"
1962,"6",0,2,1,3,"below",6,"6. Prop: Scanner: 7CUs partial"
1963,"6",1,2,1,2,"below",6,"6. Prop: Scanner: 7CUs partial"
1964,"6",0,3,2,2,"below",7,"6. Prop: Scanner: 7CUs partial"
1965,"6",1,1,0,3,"below",5,"6. Prop: Scanner: 7CUs partial"
1966,"6",2,1,0,2,"below",5,"6. Prop: Scanner: 7CUs partial"
1967,"6",2,1,0,4,"below",7,"6. Prop: Scanner: 7CUs partial"
1968,"6",3,2,0,2,"below",7,"6. Prop: Scanner: 7CUs partial"
1969,"6",1,4,0,2,"below",7,"6. Prop: Scanner: 7CUs partial"
1970,"6",2,3,0,2,"below",7,"6. Prop: Scanner: 7CUs partial"
1971,"6",3,2,0,2,"below",7,"6. Prop: Scanner: 7CUs partial"
1972,"6",2,3,0,2,"below",7,"6. Prop: Scanner: 7CUs partial"
1973,"6",1,5,0,1,"below",7,"6. Prop: Scanner: 7CUs partial"
1974,"6",1,5,0,1,"below",7,"6. Prop: Scanner: 7CUs partial"
1975,"6",1,5,0,1,"below",7,"6. Prop: Scanner: 7CUs partial"
1976,"6",2,4,0,1,"below",7,"6. Prop: Scanner: 7CUs partial"
1977,"6",4,2,0,1,"below",7,"6. Prop: Scanner: 7CUs partial"
1978,"6",3,2,0,2,"below",7,"6. Prop: Scanner: 7CUs partial"
1979,"6",2,2,0,2,"below",6,"6. Prop: Scanner: 7CUs partial"
1980,"6",2,2,0,2,"below",6,"6. Prop: Scanner: 7CUs partial"
1981,"6",2,1,0,4,"below",7,"6. Prop: Scanner: 7CUs partial"
1982,"6",2,1,0,3,"below",6,"6. Prop: Scanner: 7CUs partial"
1983,"6",2,3,0,2,"below",7,"6. Prop: Scanner: 7CUs partial"
1984,"6",2,3,0,1,"below",6,"6. Prop: Scanner: 7CUs partial"
1985,"6",0,6,0,1,"below",7,"6. Prop: Scanner: 7CUs partial"
1986,"6",1,4,0,2,"below",7,"6. Prop: Scanner: 7CUs partial"
1987,"6",0,5,0,2,"below",7,"6. Prop: Scanner: 7CUs partial"
1988,"6",0,5,0,2,"below",7,"6. Prop: Scanner: 7CUs partial"
1989,"6",2,3,0,1,"below",6,"6. Prop: Scanner: 7CUs partial"
1990,"6",2,3,0,2,"below",7,"6. Prop: Scanner: 7CUs partial"
1991,"6",3,2,0,1,"below",6,"6. Prop: Scanner: 7CUs partial"
1992,"6",2,3,0,2,"below",7,"6. Prop: Scanner: 7CUs partial"
1993,"6",1,4,0,2,"below",7,"6. Prop: Scanner: 7CUs partial"
1994,"6",1,3,0,3,"below",7,"6. Prop: Scanner: 7CUs partial"
1995,"6",1,4,0,2,"below",7,"6. Prop: Scanner: 7CUs partial"
1996,"6",2,2,0,2,"below",6,"6. Prop: Scanner: 7CUs partial"
1997,"6",1,3,0,3,"below",7,"6. Prop: Scanner: 7CUs partial"
1998,"6",2,2,0,3,"below",7,"6. Prop: Scanner: 7CUs partial"
1999,"6",2,1,0,4,"below",7,"6. Prop: Scanner: 7CUs partial"
2000,"6",2,0,0,5,"below",7,"6. Prop: Scanner: 7CUs partial"
2001,"6",1,1,0,5,"below",7,"6. Prop: Scanner: 7CUs partial"
2002,"6",2,1,0,4,"below",7,"6. Prop: Scanner: 7CUs partial"
2003,"6",2,2,0,3,"below",7,"6. Prop: Scanner: 7CUs partial"
2004,"6",1,4,0,1,"below",6,"6. Prop: Scanner: 7CUs partial"
2005,"6",0,3,0,2,"below",5,"6. Prop: Scanner: 7CUs partial"
2006,"6",0,2,0,3,"below",5,"6. Prop: Scanner: 7CUs partial"
2007,"6",0,2,0,4,"below",6,"6. Prop: Scanner: 7CUs partial"
2008,"6",0,2,0,3,"below",5,"6. Prop: Scanner: 7CUs partial"
2009,"6",1,2,0,2,"below",5,"6. Prop: Scanner: 7CUs partial"
2010,"6",1,1,0,3,"below",5,"6. Prop: Scanner: 7CUs partial"
2011,"6",1,1,0,3,"below",5,"6. Prop: Scanner: 7CUs partial"
2012,"6",1,2,0,2,"below",5,"6. Prop: Scanner: 7CUs partial"
2013,"6",0,2,0,3,"below",5,"6. Prop: Scanner: 7CUs partial"
2014,"6",0,3,0,2,"below",5,"6. Prop: Scanner: 7CUs partial"
2015,"6",0,2,0,3,"below",5,"6. Prop: Scanner: 7CUs partial"
2016,"6",0,2,0,3,"below",5,"6. Prop: Scanner: 7CUs partial"
2017,"6",0,2,0,3,"below",5,"6. Prop: Scanner: 7CUs partial"
2018,"6",0,2,0,3,"below",5,"6. Prop: Scanner: 7CUs partial"
1960,"2",2,2,NA,0,"above",4,"2. Prop: Percentile: 4CUs full"
1961,"2",2,1,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1962,"2",0,1,NA,3,"below",4,"2. Prop: Percentile: 4CUs full"
1963,"2",0,2,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
1964,"2",0,2,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
1965,"2",0,1,NA,3,"below",4,"2. Prop: Percentile: 4CUs full"
1966,"2",0,2,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
1967,"2",0,2,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
1968,"2",1,2,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1969,"2",1,2,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1970,"2",2,1,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1971,"2",2,1,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1972,"2",2,1,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1973,"2",1,2,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1974,"2",1,2,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1975,"2",1,2,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1976,"2",1,2,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1977,"2",2,1,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1978,"2",2,0,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
1979,"2",2,0,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
1980,"2",2,0,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
1981,"2",2,0,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
1982,"2",2,0,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
1983,"2",1,2,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1984,"2",1,2,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1985,"2",0,4,NA,0,"above",4,"2. Prop: Percentile: 4CUs full"
1986,"2",0,4,NA,0,"above",4,"2. Prop: Percentile: 4CUs full"
1987,"2",0,4,NA,0,"above",4,"2. Prop: Percentile: 4CUs full"
1988,"2",0,4,NA,0,"above",4,"2. Prop: Percentile: 4CUs full"
1989,"2",2,2,NA,0,"above",4,"2. Prop: Percentile: 4CUs full"
1990,"2",1,3,NA,0,"above",4,"2. Prop: Percentile: 4CUs full"
1991,"2",2,2,NA,0,"above",4,"2. Prop: Percentile: 4CUs full"
1992,"2",1,3,NA,0,"above",4,"2. Prop: Percentile: 4CUs full"
1993,"2",1,3,NA,0,"above",4,"2. Prop: Percentile: 4CUs full"
1994,"2",0,3,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1995,"2",0,4,NA,0,"above",4,"2. Prop: Percentile: 4CUs full"
1996,"2",1,2,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1997,"2",1,2,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1998,"2",2,1,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
1999,"2",2,0,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
2000,"2",2,0,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
2001,"2",1,1,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
2002,"2",1,1,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
2003,"2",1,2,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
2004,"2",0,4,NA,0,"above",4,"2. Prop: Percentile: 4CUs full"
2005,"2",0,3,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
2006,"2",0,2,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
2007,"2",0,2,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
2008,"2",0,2,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
2009,"2",0,3,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
2010,"2",0,2,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
2011,"2",0,2,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
2012,"2",0,3,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
2013,"2",0,2,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
2014,"2",0,3,NA,1,"below",4,"2. Prop: Percentile: 4CUs full"
2015,"2",0,2,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
2016,"2",0,2,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
2017,"2",0,2,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
2018,"2",0,2,NA,2,"below",4,"2. Prop: Percentile: 4CUs full"
1960,"4",2,3,NA,0,"above",5,"4. Prop: Percentile: 5CUs partial"
1961,"4",2,2,NA,1,"below",5,"4. Prop: Percentile: 5CUs partial"
1962,"4",0,2,NA,3,"below",5,"4. Prop: Percentile: 5CUs partial"
1963,"4",0,3,NA,2,"below",5,"4. Prop: Percentile: 5CUs partial"
1964,"4",0,3,NA,2,"below",5,"4. Prop: Percentile: 5CUs partial"
1965,"4",0,2,NA,3,"below",5,"4. Prop: Percentile: 5CUs partial"
1966,"4",0,3,NA,2,"below",5,"4. Prop: Percentile: 5CUs partial"
1967,"4",0,2,NA,3,"below",5,"4. Prop: Percentile: 5CUs partial"
1968,"4",1,2,NA,2,"below",5,"4. Prop: Percentile: 5CUs partial"
1969,"4",1,2,NA,2,"below",5,"4. Prop: Percentile: 5CUs partial"
1970,"4",2,1,NA,2,"below",5,"4. Prop: Percentile: 5CUs partial"
1971,"4",2,1,NA,2,"below",5,"4. Prop: Percentile: 5CUs partial"
1972,"4",2,1,NA,2,"below",5,"4. Prop: Percentile: 5CUs partial"
1973,"4",1,3,NA,1,"below",5,"4. Prop: Percentile: 5CUs partial"
1974,"4",1,3,NA,1,"below",5,"4. Prop: Percentile: 5CUs partial"
1975,"4",1,3,NA,1,"below",5,"4. Prop: Percentile: 5CUs partial"
1976,"4",1,3,NA,1,"below",5,"4. Prop: Percentile: 5CUs partial"
1977,"4",2,2,NA,1,"below",5,"4. Prop: Percentile: 5CUs partial"
1978,"4",2,1,NA,2,"below",5,"4. Prop: Percentile: 5CUs partial"
1979,"4",2,0,NA,2,"below",4,"4. Prop: Percentile: 5CUs partial"
1980,"4",2,0,NA,2,"below",4,"4. Prop: Percentile: 5CUs partial"
1981,"4",2,0,NA,3,"below",5,"4. Prop: Percentile: 5CUs partial"
1982,"4",2,0,NA,2,"below",4,"4. Prop: Percentile: 5CUs partial"
1983,"4",1,2,NA,2,"below",5,"4. Prop: Percentile: 5CUs partial"
1984,"4",1,2,NA,1,"below",4,"4. Prop: Percentile: 5CUs partial"
1985,"4",0,4,NA,1,"below",5,"4. Prop: Percentile: 5CUs partial"
1986,"4",0,4,NA,1,"below",5,"4. Prop: Percentile: 5CUs partial"
1987,"4",0,4,NA,1,"below",5,"4. Prop: Percentile: 5CUs partial"
1988,"4",0,4,NA,1,"below",5,"4. Prop: Percentile: 5CUs partial"
1989,"4",2,2,NA,0,"above",4,"4. Prop: Percentile: 5CUs partial"
1990,"4",1,3,NA,1,"below",5,"4. Prop: Percentile: 5CUs partial"
1991,"4",2,2,NA,0,"above",4,"4. Prop: Percentile: 5CUs partial"
1992,"4",1,3,NA,1,"below",5,"4. Prop: Percentile: 5CUs partial"
1993,"4",1,3,NA,1,"below",5,"4. Prop: Percentile: 5CUs partial"
1994,"4",0,3,NA,2,"below",5,"4. Prop: Percentile: 5CUs partial"
1995,"4",0,4,NA,1,"below",5,"4. Prop: Percentile: 5CUs partial"
1996,"4",1,2,NA,1,"below",4,"4. Prop: Percentile: 5CUs partial"
1997,"4",1,2,NA,2,"below",5,"4. Prop: Percentile: 5CUs partial"
1998,"4",2,1,NA,2,"below",5,"4. Prop: Percentile: 5CUs partial"
1999,"4",2,0,NA,3,"below",5,"4. Prop: Percentile: 5CUs partial"
2000,"4",2,0,NA,3,"below",5,"4. Prop: Percentile: 5CUs partial"
2001,"4",1,1,NA,3,"below",5,"4. Prop: Percentile: 5CUs partial"
2002,"4",1,1,NA,3,"below",5,"4. Prop: Percentile: 5CUs partial"
2003,"4",1,2,NA,2,"below",5,"4. Prop: Percentile: 5CUs partial"
2004,"4",0,4,NA,0,"above",4,"4. Prop: Percentile: 5CUs partial"
2005,"4",0,3,NA,1,"below",4,"4. Prop: Percentile: 5CUs partial"
2006,"4",0,2,NA,2,"below",4,"4. Prop: Percentile: 5CUs partial"
2007,"4",0,2,NA,2,"below",4,"4. Prop: Percentile: 5CUs partial"
2008,"4",0,2,NA,2,"below",4,"4. Prop: Percentile: 5CUs partial"
2009,"4",0,3,NA,1,"below",4,"4. Prop: Percentile: 5CUs partial"
2010,"4",0,2,NA,2,"below",4,"4. Prop: Percentile: 5CUs partial"
2011,"4",0,2,NA,2,"below",4,"4. Prop: Percentile: 5CUs partial"
2012,"4",0,3,NA,1,"below",4,"4. Prop: Percentile: 5CUs partial"
2013,"4",0,2,NA,2,"below",4,"4. Prop: Percentile: 5CUs partial"
