Return.Year,Conservation.Unit,Sub.Population,Tributary.Deme,WSP.2014.Data.Use.Categories,Total.Return,Total.Spawners,Natural.Returns
2007,Middle_Fraser,Lower Middle Fraser,Bridge R,green,1611,1611,1611
2008,Middle_Fraser,Lower Middle Fraser,Bridge R,green,69,69,69
2009,Middle_Fraser,Lower Middle Fraser,Bridge R,green,757,757,757
2010,Middle_Fraser,Lower Middle Fraser,Bridge R,green,217,217,217
2011,Middle_Fraser,Lower Middle Fraser,Bridge R,green,1807,1807,1807
2012,Middle_Fraser,Lower Middle Fraser,Bridge R,green,1112.166667,1112.166667,1112.166667
2013,Middle_Fraser,Lower Middle Fraser,Bridge R,green,1402,1402,1402
2014,Middle_Fraser,Lower Middle Fraser,Bridge R,green,1270,1270,1270
2015,Middle_Fraser,Lower Middle Fraser,Bridge R,green,566,566,566
2016,Middle_Fraser,Lower Middle Fraser,Bridge R,green,1090,1090,1090
2017,Middle_Fraser,Lower Middle Fraser,Bridge R,green,701.7,701.7,701.7
2018,Middle_Fraser,Lower Middle Fraser,Bridge R,green,545,545,545
2019,Middle_Fraser,Lower Middle Fraser,Bridge R,green,1071,1071,1071
2020,Middle_Fraser,Lower Middle Fraser,Bridge R,green,1529.918108,1529.918108,1529.918108
1998,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,1137,1137,1137
1999,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,279,279,279
2000,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,675,675,675
2001,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,1700,1700,1700
2002,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,1634,1634,1634
2003,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,741,741,741
2004,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,1220,1220,1220
2005,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,382,382,382
2006,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,54,54,54
2007,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,901,901,901
2008,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,123,123,123
2009,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,208,208,208
2010,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,759,759,759
2011,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,452,452,452
2012,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,746.9444444,746.9444444,746.9444444
2013,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,1072.055556,1072.055556,1072.055556
2014,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,221.7222222,221.7222222,221.7222222
2015,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,15.03703704,15.03703704,15.03703704
2016,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,620.7407407,620.7407407,620.7407407
2017,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,417.4074074,417.4074074,417.4074074
2018,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,715.8518519,715.8518519,715.8518519
2019,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,579.037037,579.037037,579.037037
2020,Middle_Fraser,Lower Middle Fraser,Gates Cr,green,806.7407407,806.7407407,806.7407407
1998,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,1055,1055,1055
1999,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,80,80,80
2000,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,60,60,60
2001,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,87,87,87
2002,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,42,42,42
2003,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,104,104,104
2004,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,116,116,116
2005,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,6,6,6
2006,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,51,51,51
2007,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,34,34,34
2008,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,15,15,15
2009,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,101,101,101
2010,Middle_Fraser,Lower Middle Fraser,Portage Cr,green,27,27,27
