Return.Year,Conservation.Unit,Sub.Population,Tributary.Deme,WSP.2014.Data.Use.Categories,Total.Return,Total.Spawners,Natural.Returns
2018,North_Thompson,Lower North Thompson,Paul Cr,yellow,12.14814815,12.14814815,12.14814815
2019,North_Thompson,Lower North Thompson,Paul Cr,yellow,7.259259259,7.259259259,7.259259259
2020,North_Thompson,Lower North Thompson,Paul Cr,yellow,10.96296296,10.96296296,10.96296296
1998,North_Thompson,Lower North Thompson,Peterson Cr,yellow,5.222500805,5.222500805,5.222500805
1999,North_Thompson,Lower North Thompson,Peterson Cr,yellow,0,0,0
2000,North_Thompson,Lower North Thompson,Peterson Cr,yellow,4,4,4
2001,North_Thompson,Lower North Thompson,Peterson Cr,yellow,46,46,46
2002,North_Thompson,Lower North Thompson,Peterson Cr,yellow,11,11,11
2003,North_Thompson,Lower North Thompson,Peterson Cr,yellow,4,4,4
2004,North_Thompson,Lower North Thompson,Peterson Cr,yellow,0,0,0
2005,North_Thompson,Lower North Thompson,Peterson Cr,yellow,2,2,2
2006,North_Thompson,Lower North Thompson,Peterson Cr,yellow,0,0,0
2007,North_Thompson,Lower North Thompson,Peterson Cr,yellow,7,7,7
2008,North_Thompson,Lower North Thompson,Peterson Cr,yellow,2,2,2
2009,North_Thompson,Lower North Thompson,Peterson Cr,yellow,5,5,5
2010,North_Thompson,Lower North Thompson,Peterson Cr,yellow,2,2,2
2011,North_Thompson,Lower North Thompson,Peterson Cr,yellow,0,0,0
2012,North_Thompson,Lower North Thompson,Peterson Cr,yellow,10,10,10
2013,North_Thompson,Lower North Thompson,Peterson Cr,yellow,0,0,0
2014,North_Thompson,Lower North Thompson,Peterson Cr,yellow,2.754439616,2.754439616,2.754439616
2015,North_Thompson,Lower North Thompson,Peterson Cr,yellow,0,0,0
2016,North_Thompson,Lower North Thompson,Peterson Cr,yellow,16.99305018,16.99305018,16.99305018
2017,North_Thompson,Lower North Thompson,Peterson Cr,yellow,0,0,0
2018,North_Thompson,Lower North Thompson,Peterson Cr,yellow,0,0,0
2019,North_Thompson,Lower North Thompson,Peterson Cr,yellow,0,0,0
2020,North_Thompson,Lower North Thompson,Peterson Cr,yellow,8,8,8
1998,North_Thompson,Lower North Thompson,Saskum Cr,yellow,14.46807639,14.46807639,14.46807639
1999,North_Thompson,Lower North Thompson,Saskum Cr,yellow,13.93403192,13.93403192,13.93403192
2000,North_Thompson,Lower North Thompson,Saskum Cr,yellow,13.01272431,13.01272431,13.01272431
2001,North_Thompson,Lower North Thompson,Saskum Cr,yellow,88,88,88
2002,North_Thompson,Lower North Thompson,Saskum Cr,yellow,81,81,81
2003,North_Thompson,Lower North Thompson,Saskum Cr,yellow,3,3,3
2004,North_Thompson,Lower North Thompson,Saskum Cr,yellow,0,0,0
2005,North_Thompson,Lower North Thompson,Saskum Cr,yellow,0,0,0
2006,North_Thompson,Lower North Thompson,Saskum Cr,yellow,3,3,3
2007,North_Thompson,Lower North Thompson,Saskum Cr,yellow,18,18,18
2008,North_Thompson,Lower North Thompson,Saskum Cr,yellow,0,0,0
2009,North_Thompson,Lower North Thompson,Saskum Cr,yellow,0,0,0
2010,North_Thompson,Lower North Thompson,Saskum Cr,yellow,17,17,17
2011,North_Thompson,Lower North Thompson,Saskum Cr,yellow,0,0,0
2012,North_Thompson,Lower North Thompson,Saskum Cr,yellow,0,0,0
2013,North_Thompson,Lower North Thompson,Saskum Cr,yellow,23,23,23
2014,North_Thompson,Lower North Thompson,Saskum Cr,yellow,0,0,0
1998,North_Thompson,Middle North Thompson,Avola Cr,green,88,88,88
1999,North_Thompson,Middle North Thompson,Avola Cr,green,169,169,169
2000,North_Thompson,Middle North Thompson,Avola Cr,green,41,41,41
2001,North_Thompson,Middle North Thompson,Avola Cr,green,60,60,60
2002,North_Thompson,Middle North Thompson,Avola Cr,green,124,124,124
2003,North_Thompson,Middle North Thompson,Avola Cr,green,17,17,17
2004,North_Thompson,Middle North Thompson,Avola Cr,green,124,124,124
2005,North_Thompson,Middle North Thompson,Avola Cr,green,45,45,45
2006,North_Thompson,Middle North Thompson,Avola Cr,green,5,5,5
2007,North_Thompson,Middle North Thompson,Avola Cr,green,480,480,480
2008,North_Thompson,Middle North Thompson,Avola Cr,green,7,7,7
2009,North_Thompson,Middle North Thompson,Avola Cr,green,52,52,52
2010,North_Thompson,Middle North Thompson,Avola Cr,green,111,111,111
2011,North_Thompson,Middle North Thompson,Avola Cr,green,87,87,87
2012,North_Thompson,Middle North Thompson,Avola Cr,green,350.9692132,350.9692132,350.9692132
2013,North_Thompson,Middle North Thompson,Avola Cr,green,99.83333333,99.83333333,99.83333333
2014,North_Thompson,Middle North Thompson,Avola Cr,green,305.5744181,305.5744181,305.5744181
2015,North_Thompson,Middle North Thompson,Avola Cr,green,47.55555556,47.55555556,47.55555556
2016,North_Thompson,Middle North Thompson,Avola Cr,green,340.1481481,340.1481481,340.1481481
2017,North_Thompson,Middle North Thompson,Avola Cr,green,25.92592593,25.92592593,25.92592593
2018,North_Thompson,Middle North Thompson,Avola Cr,green,327.2592593,327.2592593,327.2592593
2019,North_Thompson,Middle North Thompson,Avola Cr,green,330.2222222,330.2222222,330.2222222
2020,North_Thompson,Middle North Thompson,Avola Cr,green,387,387,387
1998,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,40,40,40
1999,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,71,71,71
2000,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,110,110,110
2001,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,990,990,990
2002,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,290,290,290
2003,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,37,37,37
2004,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,89,89,89
2005,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,0,0,0
2006,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,0,0,0
2007,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,11,11,11
2008,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,0,0,0
2009,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,175,175,175
2010,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,75,75,75
2011,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,23,23,23
2012,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,275.0285063,275.0285063,275.0285063
2013,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,126.9444444,126.9444444,126.9444444
2014,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,0,0,0
2015,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,39.55555556,39.55555556,39.55555556
2016,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,5.222222222,5.222222222,5.222222222
2017,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,42.55555556,42.55555556,42.55555556
2018,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,81.05555556,81.05555556,81.05555556
2019,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,481.1851852,481.1851852,481.1851852
2020,North_Thompson,Middle North Thompson,Birch Island Channel,yellow,173,173,173
1998,North_Thompson,Middle North Thompson,Finn Cr,green,35,35,35
1999,North_Thompson,Middle North Thompson,Finn Cr,green,109,109,109
2000,North_Thompson,Middle North Thompson,Finn Cr,green,5,5,5
2001,North_Thompson,Middle North Thompson,Finn Cr,green,157,157,157
2002,North_Thompson,Middle North Thompson,Finn Cr,green,108,108,108
2003,North_Thompson,Middle North Thompson,Finn Cr,green,119,119,119
2004,North_Thompson,Middle North Thompson,Finn Cr,green,144,144,144
2005,North_Thompson,Middle North Thompson,Finn Cr,green,37,37,37
2006,North_Thompson,Middle North Thompson,Finn Cr,green,13,13,13
2007,North_Thompson,Middle North Thompson,Finn Cr,green,254,254,254
2008,North_Thompson,Middle North Thompson,Finn Cr,green,5,5,5
2009,North_Thompson,Middle North Thompson,Finn Cr,green,13,13,13
2010,North_Thompson,Middle North Thompson,Finn Cr,green,46,46,46
2011,North_Thompson,Middle North Thompson,Finn Cr,green,8,8,8
2012,North_Thompson,Middle North Thompson,Finn Cr,green,20.51051989,20.51051989,20.51051989
2013,North_Thompson,Middle North Thompson,Finn Cr,green,24.88888889,24.88888889,24.88888889
2014,North_Thompson,Middle North Thompson,Finn Cr,green,163.6666667,163.6666667,163.6666667
2015,North_Thompson,Middle North Thompson,Finn Cr,green,14.16666667,14.16666667,14.16666667
2016,North_Thompson,Middle North Thompson,Finn Cr,green,41.22222222,41.22222222,41.22222222
2017,North_Thompson,Middle North Thompson,Finn Cr,green,10.01654305,10.01654305,10.01654305
2018,North_Thompson,Middle North Thompson,Finn Cr,green,23.11111111,23.11111111,23.11111111
2019,North_Thompson,Middle North Thompson,Finn Cr,green,24.22222222,24.22222222,24.22222222
2020,North_Thompson,Middle North Thompson,Finn Cr,green,69.55555556,69.55555556,69.55555556
1998,North_Thompson,Middle North Thompson,Lyon Cr,green,2299,2299,2299
1999,North_Thompson,Middle North Thompson,Lyon Cr,green,2640,2640,2640
2000,North_Thompson,Middle North Thompson,Lyon Cr,green,662,662,662
2001,North_Thompson,Middle North Thompson,Lyon Cr,green,1448,1448,1448
2002,North_Thompson,Middle North Thompson,Lyon Cr,green,605,605,605
2003,North_Thompson,Middle North Thompson,Lyon Cr,green,1595,1595,1595
2004,North_Thompson,Middle North Thompson,Lyon Cr,green,1606,1606,1606
2005,North_Thompson,Middle North Thompson,Lyon Cr,green,569,569,569
2006,North_Thompson,Middle North Thompson,Lyon Cr,green,160,160,160
2007,North_Thompson,Middle North Thompson,Lyon Cr,green,4873,4873,4873
2008,North_Thompson,Middle North Thompson,Lyon Cr,green,179,179,179
2009,North_Thompson,Middle North Thompson,Lyon Cr,green,387,387,387
2010,North_Thompson,Middle North Thompson,Lyon Cr,green,647,647,647
2011,North_Thompson,Middle North Thompson,Lyon Cr,green,743,743,743
2012,North_Thompson,Middle North Thompson,Lyon Cr,green,1238.616496,1238.616496,1238.616496
2013,North_Thompson,Middle North Thompson,Lyon Cr,green,992.8888889,992.8888889,992.8888889
2014,North_Thompson,Middle North Thompson,Lyon Cr,green,992.6345291,992.6345291,992.6345291
2015,North_Thompson,Middle North Thompson,Lyon Cr,green,288.4444444,288.4444444,288.4444444
2016,North_Thompson,Middle North Thompson,Lyon Cr,green,2690.37037,2690.37037,2690.37037
2017,North_Thompson,Middle North Thompson,Lyon Cr,green,1430.962963,1430.962963,1430.962963
2018,North_Thompson,Middle North Thompson,Lyon Cr,green,1529.62963,1529.62963,1529.62963
2019,North_Thompson,Middle North Thompson,Lyon Cr,green,1330.888889,1330.888889,1330.888889
2020,North_Thompson,Middle North Thompson,Lyon Cr,green,4257,4257,4257
1998,North_Thompson,Middle North Thompson,N Thompson R (mid),green,234,234,234
1999,North_Thompson,Middle North Thompson,N Thompson R (mid),green,594,594,594
2000,North_Thompson,Middle North Thompson,N Thompson R (mid),green,404,404,404
2001,North_Thompson,Middle North Thompson,N Thompson R (mid),green,672,672,672
2002,North_Thompson,Middle North Thompson,N Thompson R (mid),green,681,681,681
2003,North_Thompson,Middle North Thompson,N Thompson R (mid),green,225,225,225
2004,North_Thompson,Middle North Thompson,N Thompson R (mid),green,135,135,135
2005,North_Thompson,Middle North Thompson,N Thompson R (mid),green,144,144,144
2006,North_Thompson,Middle North Thompson,N Thompson R (mid),green,119,119,119
2007,North_Thompson,Middle North Thompson,N Thompson R (mid),green,754,754,754
2008,North_Thompson,Middle North Thompson,N Thompson R (mid),green,3,3,3
2009,North_Thompson,Middle North Thompson,N Thompson R (mid),green,144,144,144
2010,North_Thompson,Middle North Thompson,N Thompson R (mid),green,32,32,32
2011,North_Thompson,Middle North Thompson,N Thompson R (mid),green,105,105,105
2012,North_Thompson,Middle North Thompson,N Thompson R (mid),green,450,450,450
2013,North_Thompson,Middle North Thompson,N Thompson R (mid),green,1077,1077,1077
2014,North_Thompson,Middle North Thompson,N Thompson R (mid),green,12,12,12
2015,North_Thompson,Middle North Thompson,N Thompson R (mid),green,330,330,330
2016,North_Thompson,Middle North Thompson,N Thompson R (mid),green,408,408,408
2017,North_Thompson,Middle North Thompson,N Thompson R (mid),green,0,0,0
2018,North_Thompson,Middle North Thompson,N Thompson R (mid),green,432,432,432
2019,North_Thompson,Middle North Thompson,N Thompson R (mid),green,430,430,430
2020,North_Thompson,Middle North Thompson,N Thompson R (mid),green,66,66,66
1998,North_Thompson,Middle North Thompson,Pig Channel,yellow,168,168,168
1999,North_Thompson,Middle North Thompson,Pig Channel,yellow,537,537,537
2000,North_Thompson,Middle North Thompson,Pig Channel,yellow,279,279,279
2001,North_Thompson,Middle North Thompson,Pig Channel,yellow,1369,1369,1369
2002,North_Thompson,Middle North Thompson,Pig Channel,yellow,767,767,767
2003,North_Thompson,Middle North Thompson,Pig Channel,yellow,39,39,39
2004,North_Thompson,Middle North Thompson,Pig Channel,yellow,323,323,323
2005,North_Thompson,Middle North Thompson,Pig Channel,yellow,32,32,32
2006,North_Thompson,Middle North Thompson,Pig Channel,yellow,72,72,72
2007,North_Thompson,Middle North Thompson,Pig Channel,yellow,509,509,509
2008,North_Thompson,Middle North Thompson,Pig Channel,yellow,7,7,7
2009,North_Thompson,Middle North Thompson,Pig Channel,yellow,625,625,625
2010,North_Thompson,Middle North Thompson,Pig Channel,yellow,167,167,167
2011,North_Thompson,Middle North Thompson,Pig Channel,yellow,121,121,121
2012,North_Thompson,Middle North Thompson,Pig Channel,yellow,517.6738883,517.6738883,517.6738883
2013,North_Thompson,Middle North Thompson,Pig Channel,yellow,377.3888889,377.3888889,377.3888889
2014,North_Thompson,Middle North Thompson,Pig Channel,yellow,35,35,35
2015,North_Thompson,Middle North Thompson,Pig Channel,yellow,108.8333333,108.8333333,108.8333333
2016,North_Thompson,Middle North Thompson,Pig Channel,yellow,168.5555556,168.5555556,168.5555556
2017,North_Thompson,Middle North Thompson,Pig Channel,yellow,235.8333333,235.8333333,235.8333333
2018,North_Thompson,Middle North Thompson,Pig Channel,yellow,637.9444444,637.9444444,637.9444444
2019,North_Thompson,Middle North Thompson,Pig Channel,yellow,1073.333333,1073.333333,1073.333333
2020,North_Thompson,Middle North Thompson,Pig Channel,yellow,1043,1043,1043
1998,North_Thompson,Middle North Thompson,Raft R,green,603,603,603
1999,North_Thompson,Middle North Thompson,Raft R,green,324,324,323.5031762
2000,North_Thompson,Middle North Thompson,Raft R,green,106,106,106
2001,North_Thompson,Middle North Thompson,Raft R,green,4099,4099,4099
2002,North_Thompson,Middle North Thompson,Raft R,green,2845,2845,2845
2003,North_Thompson,Middle North Thompson,Raft R,green,88,88,88
2004,North_Thompson,Middle North Thompson,Raft R,green,264,264,264
2005,North_Thompson,Middle North Thompson,Raft R,green,60,60,60
2006,North_Thompson,Middle North Thompson,Raft R,green,167,167,167
2007,North_Thompson,Middle North Thompson,Raft R,green,959,959,959
2008,North_Thompson,Middle North Thompson,Raft R,green,59,59,59
2009,North_Thompson,Middle North Thompson,Raft R,green,725,725,725
2010,North_Thompson,Middle North Thompson,Raft R,green,641,641,641
2011,North_Thompson,Middle North Thompson,Raft R,green,223,223,223
2012,North_Thompson,Middle North Thompson,Raft R,green,1613.68301,1613.68301,1613.68301
2013,North_Thompson,Middle North Thompson,Raft R,green,1301.277778,1301.277778,1301.277778
2014,North_Thompson,Middle North Thompson,Raft R,green,114,114,114
2015,North_Thompson,Middle North Thompson,Raft R,green,175.6666667,175.6666667,175.6666667
2016,North_Thompson,Middle North Thompson,Raft R,green,623.1111111,623.1111111,623.1111111
2017,North_Thompson,Middle North Thompson,Raft R,green,814.7777778,814.7777778,814.7777778
2018,North_Thompson,Middle North Thompson,Raft R,green,940.6666667,940.6666667,940.6666667
2019,North_Thompson,Middle North Thompson,Raft R,green,878.9666667,878.9666667,878.9666667
2020,North_Thompson,Middle North Thompson,Raft R,green,1674,1674,1674
1998,North_Thompson,Middle North Thompson,Reg Christie Cr,green,90,90,90
1999,North_Thompson,Middle North Thompson,Reg Christie Cr,green,205,205,205
2000,North_Thompson,Middle North Thompson,Reg Christie Cr,green,85,85,85
2001,North_Thompson,Middle North Thompson,Reg Christie Cr,green,906,906,906
2002,North_Thompson,Middle North Thompson,Reg Christie Cr,green,24,24,24
2003,North_Thompson,Middle North Thompson,Reg Christie Cr,green,56,56,56
2004,North_Thompson,Middle North Thompson,Reg Christie Cr,green,92,92,92
2005,North_Thompson,Middle North Thompson,Reg Christie Cr,green,16,16,16
2006,North_Thompson,Middle North Thompson,Reg Christie Cr,green,0,0,0
2007,North_Thompson,Middle North Thompson,Reg Christie Cr,green,65,65,65
2008,North_Thompson,Middle North Thompson,Reg Christie Cr,green,2,2,2
2009,North_Thompson,Middle North Thompson,Reg Christie Cr,green,119,119,119
2010,North_Thompson,Middle North Thompson,Reg Christie Cr,green,24,24,24
2011,North_Thompson,Middle North Thompson,Reg Christie Cr,green,4,4,4
2012,North_Thompson,Middle North Thompson,Reg Christie Cr,green,66.28658305,66.28658305,66.28658305
2013,North_Thompson,Middle North Thompson,Reg Christie Cr,green,37.05555556,37.05555556,37.05555556
2014,North_Thompson,Middle North Thompson,Reg Christie Cr,green,13.65364083,13.65364083,13.65364083
2015,North_Thompson,Middle North Thompson,Reg Christie Cr,green,6.962962963,6.962962963,6.962962963
2016,North_Thompson,Middle North Thompson,Reg Christie Cr,green,24.59259259,24.59259259,24.59259259
2017,North_Thompson,Middle North Thompson,Reg Christie Cr,green,38.88888889,38.88888889,38.88888889
2018,North_Thompson,Middle North Thompson,Reg Christie Cr,green,58.51851852,58.51851852,58.51851852
2019,North_Thompson,Middle North Thompson,Reg Christie Cr,green,28.88888889,28.88888889,28.88888889
2020,North_Thompson,Middle North Thompson,Reg Christie Cr,green,17.03703704,17.03703704,17.03703704
1998,North_Thompson,Middle North Thompson,Shannon Cr,yellow,16,16,16
1999,North_Thompson,Middle North Thompson,Shannon Cr,yellow,7,7,7
2000,North_Thompson,Middle North Thompson,Shannon Cr,yellow,13,13,13
2001,North_Thompson,Middle North Thompson,Shannon Cr,yellow,44,44,44
2002,North_Thompson,Middle North Thompson,Shannon Cr,yellow,36,36,36
2003,North_Thompson,Middle North Thompson,Shannon Cr,yellow,7,7,7
2004,North_Thompson,Middle North Thompson,Shannon Cr,yellow,31,31,31
2005,North_Thompson,Middle North Thompson,Shannon Cr,yellow,23,23,23
2006,North_Thompson,Middle North Thompson,Shannon Cr,yellow,3,3,3
2007,North_Thompson,Middle North Thompson,Shannon Cr,yellow,73,73,73
2008,North_Thompson,Middle North Thompson,Shannon Cr,yellow,15,15,15
2009,North_Thompson,Middle North Thompson,Shannon Cr,yellow,6,6,6
2010,North_Thompson,Middle North Thompson,Shannon Cr,yellow,3,3,3
2011,North_Thompson,Middle North Thompson,Shannon Cr,yellow,15,15,15
2012,North_Thompson,Middle North Thompson,Shannon Cr,yellow,57.69669327,57.69669327,57.69669327
2013,North_Thompson,Middle North Thompson,Shannon Cr,yellow,0,0,0
2014,North_Thompson,Middle North Thompson,Shannon Cr,yellow,26.41682682,26.41682682,26.41682682
2015,North_Thompson,Middle North Thompson,Shannon Cr,yellow,0,0,0
2016,North_Thompson,Middle North Thompson,Shannon Cr,yellow,43.11111111,43.11111111,43.11111111
2017,North_Thompson,Middle North Thompson,Shannon Cr,yellow,46.62628583,46.62628583,46.62628583
2018,North_Thompson,Middle North Thompson,Shannon Cr,yellow,81.33333333,81.33333333,81.33333333
2019,North_Thompson,Middle North Thompson,Shannon Cr,yellow,24,24,24
2020,North_Thompson,Middle North Thompson,Shannon Cr,yellow,22.59259259,22.59259259,22.59259259
1998,North_Thompson,Middle North Thompson,Tumtum Cr,green,21,21,21
1999,North_Thompson,Middle North Thompson,Tumtum Cr,green,65,65,65
2000,North_Thompson,Middle North Thompson,Tumtum Cr,green,0,0,0
2001,North_Thompson,Middle North Thompson,Tumtum Cr,green,39,39,39
2002,North_Thompson,Middle North Thompson,Tumtum Cr,green,21,21,21
2003,North_Thompson,Middle North Thompson,Tumtum Cr,green,39,39,39
2004,North_Thompson,Middle North Thompson,Tumtum Cr,green,48,48,48
2005,North_Thompson,Middle North Thompson,Tumtum Cr,green,19,19,19
2006,North_Thompson,Middle North Thompson,Tumtum Cr,green,5,5,5
2007,North_Thompson,Middle North Thompson,Tumtum Cr,green,275,275,275
2008,North_Thompson,Middle North Thompson,Tumtum Cr,green,8,8,8
2009,North_Thompson,Middle North Thompson,Tumtum Cr,green,3,3,3
2010,North_Thompson,Middle North Thompson,Tumtum Cr,green,12,12,12
2011,North_Thompson,Middle North Thompson,Tumtum Cr,green,20,20,20
2012,North_Thompson,Middle North Thompson,Tumtum Cr,green,47.13036868,47.13036868,47.13036868
2013,North_Thompson,Middle North Thompson,Tumtum Cr,green,0,0,0
2014,North_Thompson,Middle North Thompson,Tumtum Cr,green,90.08434764,90.08434764,90.08434764
2015,North_Thompson,Middle North Thompson,Tumtum Cr,green,10.37037037,10.37037037,10.37037037
2016,North_Thompson,Middle North Thompson,Tumtum Cr,green,86.96296296,86.96296296,86.96296296
2017,North_Thompson,Middle North Thompson,Tumtum Cr,green,3.851851852,3.851851852,3.851851852
2018,North_Thompson,Middle North Thompson,Tumtum Cr,green,34.96296296,34.96296296,34.96296296
2019,North_Thompson,Middle North Thompson,Tumtum Cr,green,6.740740741,6.740740741,6.740740741
2020,North_Thompson,Middle North Thompson,Tumtum Cr,green,66.2962963,66.2962963,66.2962963
1998,North_Thompson,Middle North Thompson,Wire Cache Cr,green,18,18,18
1999,North_Thompson,Middle North Thompson,Wire Cache Cr,green,77,77,77
2000,North_Thompson,Middle North Thompson,Wire Cache Cr,green,2,2,2
2001,North_Thompson,Middle North Thompson,Wire Cache Cr,green,0,0,0
2002,North_Thompson,Middle North Thompson,Wire Cache Cr,green,55,55,55
2003,North_Thompson,Middle North Thompson,Wire Cache Cr,green,19,19,19
2004,North_Thompson,Middle North Thompson,Wire Cache Cr,green,37,37,37
2005,North_Thompson,Middle North Thompson,Wire Cache Cr,green,116,116,116
2006,North_Thompson,Middle North Thompson,Wire Cache Cr,green,10,10,10
2007,North_Thompson,Middle North Thompson,Wire Cache Cr,green,152,152,152
2008,North_Thompson,Middle North Thompson,Wire Cache Cr,green,11,11,11
2009,North_Thompson,Middle North Thompson,Wire Cache Cr,green,0,0,0
2010,North_Thompson,Middle North Thompson,Wire Cache Cr,green,0,0,0
2011,North_Thompson,Middle North Thompson,Wire Cache Cr,green,0,0,0
2012,North_Thompson,Middle North Thompson,Wire Cache Cr,green,2.723907118,2.723907118,2.723907118
2013,North_Thompson,Middle North Thompson,Wire Cache Cr,green,0,0,0
2014,North_Thompson,Middle North Thompson,Wire Cache Cr,green,44.67115097,44.67115097,44.67115097
2015,North_Thompson,Middle North Thompson,Wire Cache Cr,green,14.37037037,14.37037037,14.37037037
2016,North_Thompson,Middle North Thompson,Wire Cache Cr,green,119.7037037,119.7037037,119.7037037
2017,North_Thompson,Middle North Thompson,Wire Cache Cr,green,13.85185185,13.85185185,13.85185185
2018,North_Thompson,Middle North Thompson,Wire Cache Cr,green,151.1111111,151.1111111,151.1111111
2019,North_Thompson,Middle North Thompson,Wire Cache Cr,green,18,18,18
2020,North_Thompson,Middle North Thompson,Wire Cache Cr,green,165.3333333,165.3333333,165.3333333
1998,North_Thompson,Upper North Thompson,Albreda R,green,14,14,14
1999,North_Thompson,Upper North Thompson,Albreda R,green,445,445,445
2000,North_Thompson,Upper North Thompson,Albreda R,green,20,20,20
2001,North_Thompson,Upper North Thompson,Albreda R,green,1710,1710,1710
2002,North_Thompson,Upper North Thompson,Albreda R,green,1058,1058,1058
2003,North_Thompson,Upper North Thompson,Albreda R,green,366,366,366
2004,North_Thompson,Upper North Thompson,Albreda R,green,881,881,881
2005,North_Thompson,Upper North Thompson,Albreda R,green,250,250,250
2006,North_Thompson,Upper North Thompson,Albreda R,green,261,261,261
2007,North_Thompson,Upper North Thompson,Albreda R,green,5231.111193,5231.111193,5231.111193
2008,North_Thompson,Upper North Thompson,Albreda R,green,400,400,400
2009,North_Thompson,Upper North Thompson,Albreda R,green,1190,1190,1190
2010,North_Thompson,Upper North Thompson,Albreda R,green,829,829,829
2011,North_Thompson,Upper North Thompson,Albreda R,green,336,336,336
2012,North_Thompson,Upper North Thompson,Albreda R,green,1136,1136,1136
2013,North_Thompson,Upper North Thompson,Albreda R,green,686.3888889,686.3888889,686.3888889
2014,North_Thompson,Upper North Thompson,Albreda R,green,372,372,372
2015,North_Thompson,Upper North Thompson,Albreda R,green,645,645,645
2016,North_Thompson,Upper North Thompson,Albreda R,green,1578.277778,1578.277778,1578.277778
2017,North_Thompson,Upper North Thompson,Albreda R,green,676.6666667,676.6666667,676.6666667
2018,North_Thompson,Upper North Thompson,Albreda R,green,615.1111111,615.1111111,615.1111111
2019,North_Thompson,Upper North Thompson,Albreda R,green,1039.444444,1039.444444,1039.444444
2020,North_Thompson,Upper North Thompson,Albreda R,green,626,626,626
1998,North_Thompson,Upper North Thompson,Blue R,green,494,494,494
1999,North_Thompson,Upper North Thompson,Blue R,green,200,200,200
2000,North_Thompson,Upper North Thompson,Blue R,green,163,163,163
2001,North_Thompson,Upper North Thompson,Blue R,green,2469,2469,2469
2002,North_Thompson,Upper North Thompson,Blue R,green,2972,2972,2972
2003,North_Thompson,Upper North Thompson,Blue R,green,295,295,295
2004,North_Thompson,Upper North Thompson,Blue R,green,1921,1921,1921
2005,North_Thompson,Upper North Thompson,Blue R,green,311,311,311
2006,North_Thompson,Upper North Thompson,Blue R,green,948,948,948
2007,North_Thompson,Upper North Thompson,Blue R,green,2347,2347,2347
2008,North_Thompson,Upper North Thompson,Blue R,green,368,368,368
2009,North_Thompson,Upper North Thompson,Blue R,green,1778,1778,1778
2010,North_Thompson,Upper North Thompson,Blue R,green,2865,2865,2865
2011,North_Thompson,Upper North Thompson,Blue R,green,799,799,799
2012,North_Thompson,Upper North Thompson,Blue R,green,1473,1473,1473
2013,North_Thompson,Upper North Thompson,Blue R,green,1518.388889,1518.388889,1518.388889
2014,North_Thompson,Upper North Thompson,Blue R,green,24.55555556,24.55555556,24.55555556
2015,North_Thompson,Upper North Thompson,Blue R,green,128,128,128
2016,North_Thompson,Upper North Thompson,Blue R,green,1643.277778,1643.277778,1643.277778
2017,North_Thompson,Upper North Thompson,Blue R,green,1286.833333,1286.833333,1286.833333
2018,North_Thompson,Upper North Thompson,Blue R,green,1483.444444,1483.444444,1483.444444
2019,North_Thompson,Upper North Thompson,Blue R,green,701.5925926,701.5925926,701.5925926
2020,North_Thompson,Upper North Thompson,Blue R,green,2579,2579,2579
1998,North_Thompson,Upper North Thompson,Cedar Cr,green,9,9,9
1999,North_Thompson,Upper North Thompson,Cedar Cr,green,10,10,10
2000,North_Thompson,Upper North Thompson,Cedar Cr,green,7,7,7
2001,North_Thompson,Upper North Thompson,Cedar Cr,green,19,19,19
2002,North_Thompson,Upper North Thompson,Cedar Cr,green,25,25,25
2003,North_Thompson,Upper North Thompson,Cedar Cr,green,5,5,5
2004,North_Thompson,Upper North Thompson,Cedar Cr,green,10,10,10
2005,North_Thompson,Upper North Thompson,Cedar Cr,green,5,5,5
2006,North_Thompson,Upper North Thompson,Cedar Cr,green,3,3,3
2007,North_Thompson,Upper North Thompson,Cedar Cr,green,19.76744186,19.76744186,19.76744186
2008,North_Thompson,Upper North Thompson,Cedar Cr,green,0.01,0.01,0.01
2009,North_Thompson,Upper North Thompson,Cedar Cr,green,13,13,13
2010,North_Thompson,Upper North Thompson,Cedar Cr,green,16,16,16
2011,North_Thompson,Upper North Thompson,Cedar Cr,green,5,5,5
2012,North_Thompson,Upper North Thompson,Cedar Cr,green,15.05131129,15.05131129,15.05131129
