"","BroodYear","Inlet_Name","Spawners","CU_Name","Inlet_ID","Recruits"
"78",1991,"Clayoquot",NA,"WCVI South",2,NA
"79",1992,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1,NA
"80",1992,"Clayoquot",NA,"WCVI South",2,NA
"81",1993,"Kyuquot",280,"WCVI Nootka & Kyuquot",1,NA
"82",1993,"Clayoquot",NA,"WCVI South",2,NA
"83",1994,"Kyuquot",500,"WCVI Nootka & Kyuquot",1,NA
"84",1994,"Clayoquot",NA,"WCVI South",2,NA
"85",1995,"Kyuquot",956,"WCVI Nootka & Kyuquot",1,NA
"86",1995,"Clayoquot",703,"WCVI South",2,NA
"87",1996,"Kyuquot",560,"WCVI Nootka & Kyuquot",1,NA
"88",1996,"Clayoquot",935,"WCVI South",2,NA
"89",1997,"Kyuquot",1483,"WCVI Nootka & Kyuquot",1,NA
"90",1997,"Clayoquot",625,"WCVI South",2,NA
"91",1998,"Kyuquot",2554,"WCVI Nootka & Kyuquot",1,NA
"92",1998,"Clayoquot",831,"WCVI South",2,NA
"93",1999,"Kyuquot",1871,"WCVI Nootka & Kyuquot",1,NA
"94",1999,"Clayoquot",633,"WCVI South",2,NA
"95",2000,"Kyuquot",571,"WCVI Nootka & Kyuquot",1,NA
"96",2000,"Clayoquot",397,"WCVI South",2,NA
"97",2001,"Kyuquot",785,"WCVI Nootka & Kyuquot",1,NA
"98",2001,"Clayoquot",NA,"WCVI South",2,NA
"99",2002,"Kyuquot",600,"WCVI Nootka & Kyuquot",1,NA
"100",2002,"Clayoquot",205,"WCVI South",2,NA
"101",2003,"Kyuquot",1177,"WCVI Nootka & Kyuquot",1,NA
"102",2003,"Clayoquot",320,"WCVI South",2,NA
"103",2004,"Kyuquot",1250,"WCVI Nootka & Kyuquot",1,NA
"104",2004,"Clayoquot",575,"WCVI South",2,NA
"105",2005,"Kyuquot",808,"WCVI Nootka & Kyuquot",1,NA
"106",2005,"Clayoquot",216,"WCVI South",2,NA
"107",2006,"Kyuquot",840,"WCVI Nootka & Kyuquot",1,NA
"108",2006,"Clayoquot",306,"WCVI South",2,NA
"109",2007,"Kyuquot",589,"WCVI Nootka & Kyuquot",1,NA
"110",2007,"Clayoquot",166,"WCVI South",2,NA
