MU_Name,CU_Name,CU_ID,ReturnYear,BroodYear,Escapement
IF Coho,North_Thompson,4,2007,2004,24500
IF Coho,North_Thompson,4,2008,2005,3849
IF Coho,North_Thompson,4,2009,2006,9631
IF Coho,North_Thompson,4,2010,2007,12159
IF Coho,North_Thompson,4,2011,2008,8803
IF Coho,North_Thompson,4,2012,2009,20058
IF Coho,North_Thompson,4,2013,2010,16271
IF Coho,North_Thompson,4,2014,2011,5244
IF Coho,North_Thompson,4,2015,2012,3178
IF Coho,North_Thompson,4,2016,2013,16914
IF Coho,North_Thompson,4,2017,2014,11908
IF Coho,North_Thompson,4,2018,2015,11531
IF Coho,South_Thompson,5,1984,1981,16946
IF Coho,South_Thompson,5,1985,1982,18294
IF Coho,South_Thompson,5,1986,1983,16884
IF Coho,South_Thompson,5,1987,1984,23281
IF Coho,South_Thompson,5,1988,1985,27552
IF Coho,South_Thompson,5,1989,1986,18610
IF Coho,South_Thompson,5,1990,1987,10320
IF Coho,South_Thompson,5,1991,1988,4612
IF Coho,South_Thompson,5,1992,1989,13565
IF Coho,South_Thompson,5,1993,1990,2534
IF Coho,South_Thompson,5,1994,1991,4918
IF Coho,South_Thompson,5,1995,1992,4055
IF Coho,South_Thompson,5,1996,1993,1373
IF Coho,South_Thompson,5,1997,1994,1420
IF Coho,South_Thompson,5,1998,1995,5155
IF Coho,South_Thompson,5,1999,1996,3137
IF Coho,South_Thompson,5,2000,1997,3307
IF Coho,South_Thompson,5,2001,1998,13063
IF Coho,South_Thompson,5,2002,1999,10544
IF Coho,South_Thompson,5,2003,2000,3422
IF Coho,South_Thompson,5,2004,2001,15850
IF Coho,South_Thompson,5,2005,2002,2302
IF Coho,South_Thompson,5,2006,2003,2003
IF Coho,South_Thompson,5,2007,2004,12345
IF Coho,South_Thompson,5,2008,2005,6688
IF Coho,South_Thompson,5,2009,2006,3821
IF Coho,South_Thompson,5,2010,2007,8946
IF Coho,South_Thompson,5,2011,2008,4771
IF Coho,South_Thompson,5,2012,2009,13303
IF Coho,South_Thompson,5,2013,2010,13132
IF Coho,South_Thompson,5,2014,2011,2270
IF Coho,South_Thompson,5,2015,2012,2392
IF Coho,South_Thompson,5,2016,2013,15023
IF Coho,South_Thompson,5,2017,2014,2831
IF Coho,South_Thompson,5,2018,2015,6669
