"","iCombn","nCUs","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel","Agg_Escp","Gen_Mean","status","se","cv"
"16",4,3,2018,19807.7744620572,16799.2385513172,22816.3103727973,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,23969,23853.2059463843,1.20423452882484,1534.96730139797,0.0774931734172495
"17",5,3,2015,16467.7063498672,13491.1901117174,19444.2225880169,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,7926,13742.3654431005,0.83450391640068,1518.63073374986,0.0922187159210614
"18",5,3,2016,16922.8193727261,13795.8979563002,20049.7407891521,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,29710,13635.0557498404,0.805720101924359,1595.36806960508,0.0942731843002634
"19",5,3,2017,16758.2055734812,13733.0164080471,19783.3947389154,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,8841,12768.8769982575,0.761947748061009,1543.46385991538,0.0921019767389544
"20",5,3,2018,16503.4418593514,13680.3582625903,19326.5254561124,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,19107,17121.1204254712,1.03742725737964,1440.34877385766,0.0872756595946991
"21",6,3,2015,20793.8374922258,17234.1223330894,24353.5526513622,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,5922,12084.0296816782,0.581135140937598,1816.18120364103,0.0873422813042588
"22",6,3,2016,20788.4851298148,17203.0268329938,24373.9434266358,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,33097,11883.4922013316,0.571638199085913,1829.31545756174,0.0879965733981329
"23",6,3,2017,21177.616242557,17731.3712344518,24623.8612506622,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,16396,14757.0080509882,0.696821015262973,1758.28826944144,0.0830257876667022
"24",6,3,2018,20845.3801266082,17626.3930215305,24064.3672316859,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,23116,23235.1996462103,1.114645043894,1642.34035973351,0.078786779121247
"25",7,3,2015,12435.0328958467,10101.4475276894,14768.6182640041,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,9714,18266.7295616174,1.46897315950957,1190.6047796721,0.0957460096522754
"26",7,3,2016,12435.0302269616,10101.4451576262,14768.6152962971,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,44041,18896.4698851217,1.51961591891835,1190.60462721195,0.0957460179413546
"27",7,3,2017,12421.6666858745,10104.270390333,14739.0629814161,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,20262,20542.1483175498,1.65373527055831,1182.34504874569,0.0951840907219162
"28",7,3,2018,12417.5825158515,10105.6775609728,14729.4874707302,"SR_HierRicker_SurvCap_LowAggPrior","BinLogistic",FALSE,TRUE,22597,27218.4520543457,2.19192842242847,1179.54334432585,0.0949897729948743
