"","z.value","Pr...z.2..","Mod","CU_ID","CU_Name","est_B","est_sigma","est_Smsy","est_Sgen","est_A","low_Sgen","up_Sgen","retroYr","BMmodel","LRPmodel","useGenMean","integratedModel"
"52",-7.51838379704424,0.0000000000000554575043842774,"SR_IndivRicker_NoSurv",3,"Georgia Strait",0.00000284354319216222,NA,NA,NA,NA,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"53",-4.93096520551624,0.000000818243089933032,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",0.00000505523479021226,NA,NA,NA,NA,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"54",-0.550388528493201,0.582052915135766,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",NA,0.87958074608556,NA,NA,NA,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"55",-1.79603970075067,0.0724882032468554,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",NA,0.65789893700709,NA,NA,NA,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"56",0.700064363469543,0.483887109858593,"SR_IndivRicker_NoSurv",2,"Loughborough",NA,1.17727600232082,NA,NA,NA,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"57",-0.842783683387856,0.399349435070948,"SR_IndivRicker_NoSurv",3,"Georgia Strait",NA,0.821622026043395,NA,NA,NA,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"58",0.699565854630417,0.484198472838427,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",NA,1.17713917084414,NA,NA,NA,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"59",8.31346287488141,0.0000000000000000929491081829411,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",NA,NA,18396.5046330473,NA,NA,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"60",2.46008586266234,0.0138903779653689,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",NA,NA,12477.6730509739,NA,NA,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"61",2.52720070159735,0.0114975776716571,"SR_IndivRicker_NoSurv",2,"Loughborough",NA,NA,31618.2945288597,NA,NA,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"62",2.44980850649367,0.014293220702079,"SR_IndivRicker_NoSurv",3,"Georgia Strait",NA,NA,149978.709508315,NA,NA,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
